Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate.1,5WI,10WM,BBI,BBM
Aaron James Redmond,1979-09-23,new zealand,Right-hand bat,Leg-break,2009-10-03,new zealand,6,6,152,0,52,25.33,259,58.68,0,1,19,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Adam Fraser Milne,1992-04-13,new zealand,Right-hand bat,Right-arm fast,2012-11-10,sri lanka,40,17,168,7,36,16.8,165,101.8,0,0,11,4,21,0,1801,1581,41,38.56,5.267,43.92,0,0,1/8,1/8
Adam Craig Parore,1971-01-23,new zealand,Right-hand bat,Not-Bowled,1992-10-31,zimbabwe,179,161,3314,32,108,25.68,4867,68.09,1,14,169,36,116,25,0,0,0,0.0,0.0,0.0,0,0,0,0
Alex Ross Tait,1972-06-13,new zealand,Right-hand bat,Right-arm medium,1998-10-24,new zealand,5,5,35,2,13,11.66,32,109.3,0,0,2,1,0,0,120,88,3,29.33,4.4,40.0,0,0,2/37,2/37
Andre Ryan Adams,1975-07-17,new zealand,Right-hand bat,Right-arm fast-medium,2001-04-10,new zealand,42,34,419,10,45,17.45,417,100.4,0,0,31,18,8,0,1885,1643,53,31.0,5.229,35.56,1,0,5/22,5/22
Andrew Malcolm Ellis,1982-03-24,new zealand,Right-hand bat,Right-arm fast-medium,2012-02-03,new zealand,15,12,153,1,33,13.9,184,83.15,0,0,10,2,3,0,480,425,12,35.41,5.312,40.0,0,0,2/22,2/22
Andrew Howard Jones,1959-09-05,new zealand,Right-hand bat,Off-break,1987-10-10,new zealand,87,87,2784,9,93,35.69,4811,57.86,0,25,199,8,23,0,306,216,4,54.0,4.235,76.5,0,0,2/42,2/42
Andrew Jonathan Penn,1974-07-27,new zealand,Right-hand bat,Right-arm fast-medium,1997-03-27,new zealand,5,3,23,1,15,11.5,33,69.69,0,0,0,0,1,0,159,201,1,201.0,7.584,159.0,0,0,1/50,1/50
Andrew Duncan Glenn Roberts,1947-06-05,new zealand,Right-hand bat,Right-arm medium,1976-10-16,pakistan,1,1,16,0,16,16.0,24,66.66,0,0,0,0,1,0,42,30,1,30.0,4.285,42.0,0,0,1/12,1/12
Andrew John McKay,1980-04-17,new zealand,Right-hand bat,Left-arm fast-medium,2010-02-05,new zealand,19,10,12,7,4,4.0,47,25.53,0,0,0,0,3,0,926,800,27,29.62,5.183,34.29,0,0,4/53,4/53
Anton Paul Devcich,1985-09-28,new zealand,Left-hand bat,Slow left-arm,2013-10-29,bangladesh,12,11,195,0,58,17.72,253,77.07,0,1,25,0,3,0,324,291,4,72.75,5.388,81.0,0,0,2/16,2/16
Barry George Hadlee,1941-12-14,new zealand,Right-hand bat,Not-Bowled,1975-03-08,new zealand,2,2,26,1,19,26.0,93,27.95,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Bevan Ernest Congdon,1938-11-02,new zealand,Right-hand bat,Right-arm medium,1973-02-11,new zealand,11,9,338,3,101,56.33,472,71.61,1,2,29,2,0,0,387,287,7,41.0,4.449,55.28,0,0,2/14,2/14
Bradley-John Watling,1985-09-07,new zealand,Right-hand bat,Not-Bowled,2010-08-13,sri lanka,28,25,573,2,96,24.91,838,68.37,0,5,58,3,20,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Blair Robert Hartland,1966-10-22,new zealand,Right-hand bat,Right-arm medium,1992-11-08,zimbabwe,16,16,311,1,68,20.73,623,49.91,0,2,28,0,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Brendon Paul Bracewell,1959-09-14,new zealand,Right-hand bat,Right-arm medium,1978-07-17, new zealand,1,1,0,1,0,0.0,4,0.0,0,0,0,0,0,0,66,41,1,41.0,3.727,66.0,0,0,1/26,1/41
Brendon John Diamanti,1981-04-30,new zealand,Right-hand bat,Right-arm medium,2009-02-13,australia,1,1,26,1,26,0.0,22,118.1,0,0,3,0,1,0,12,25,0,0.0,12.5,0.0,0,0,0/19,0/19
Brendon Barrie McCullum,1981-09-27,new zealand,Right-hand bat,Right-arm medium,2002-01-17,australia,260,228,6083,28,166,30.41,6309,96.41,5,32,578,200,262,15,0,0,0,0.0,0.0,0.0,0,0,0,0
Brian Frederick Hastings,1940-03-23,new zealand,Right-hand bat,Leg-break googly,1973-02-11,new zealand,11,9,151,1,37,18.87,271,55.71,0,0,12,0,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Brian John McKechnie,1953-06-11,new zealand,Right-hand bat,Right-arm fast-medium,1975-06-07,east africa,14,8,54,4,27,13.5,100,54.0,0,0,2,0,2,0,800,495,19,26.05,3.7119999999999997,42.1,0,0,3/23,3/23
Brooke Graeme Keith Walker,1977-03-25,new zealand,Right-hand bat,Leg-break,2000-10-22,south africa,11,7,47,4,16,15.66,79,59.49,0,0,3,0,5,0,438,417,8,52.12,5.712000000000001,54.75,0,0,2/43,2/43
Bruce Robert Blair,1957-12-27,new zealand,Left-hand bat,Right-arm medium,1982-02-17,new zealand,14,14,174,2,29,14.5,253,68.77,0,0,12,1,4,0,30,34,1,34.0,6.8,30.0,0,0,1/7,1/7
Bruce Adrian Edgar,1956-11-23,new zealand,Left-hand bat,Right-arm slow-medium,1978-07-17, new zealand,64,64,1814,5,102,30.74,3661,49.54,1,10,125,2,12,0,12,5,0,0.0,2.5,0.0,0,0,0/3,0/3
Bruce Richard Taylor,1943-12-07,new zealand,Left-hand bat,Right-arm fast-medium,1973-07-18, new zealand,2,1,22,0,22,22.0,42,52.38,0,0,4,0,1,0,114,62,4,15.5,3.263,28.5,0,0,3/25,3/25
Bryan Andrew Young,1964-03-11,new zealand,Right-hand bat,Not-Bowled,1990-12-11,australia,74,73,1668,5,74,24.52,2733,61.03,0,9,164,2,28,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Carl Edwin Bulfin,1973-08-19,new zealand,Right-hand bat,Right-arm fast-medium,1999-03-25,new zealand,4,2,9,1,7,9.0,8,112.5,0,0,0,1,1,0,102,109,0,0.0,6.4110000000000005,0.0,0,0,0/31,0/31
Christopher Lance Cairns,1970-06-13,new zealand,Right-hand bat,Right-arm fast-medium,1991-02-13,new zealand,215,193,4950,25,115,29.46,5874,84.26,4,26,345,153,66,0,8168,6594,201,32.8,4.843,40.63,1,0,5/31,5/42
Christopher James Drum,1974-10-07,new zealand,Right-hand bat,Right-arm fast-medium,1999-01-14,new zealand,5,2,9,2,7,0.0,22,40.9,0,0,1,0,1,0,216,261,4,65.25,7.25,54.0,0,0,2/26,2/31
Chris Zinzan Harris,1969-11-20,new zealand,Left-hand bat,"Right-arm medium, Off-break",1990-11-29,australia,250,213,4379,62,130,29.0,6583,66.51,1,16,275,43,96,0,10667,7613,203,37.5,4.282,52.54,1,0,5/42,5/42
Christopher Mary Kuggeleijn,1956-10-05,new zealand,Right-hand bat,Off-break,1988-03-09,new zealand,16,11,142,2,40,15.77,223,63.67,0,0,7,1,9,0,817,604,12,50.33,4.435,68.08,0,0,2/31,2/31
Christopher Stewart Martin,1974-10-12,new zealand,Right-hand bat,Right-arm fast-medium,2001-01-02,new zealand,20,7,8,2,3,1.6,27,29.62,0,0,0,0,7,0,948,804,18,44.66,5.088,52.66,0,0,3/21,3/62
Christopher John Nevin,1975-03-08,new zealand,Right-hand bat,Right-arm slow-medium,2000-03-01,new zealand,37,36,732,0,74,20.33,1000,73.2,0,4,82,3,16,3,0,0,0,0.0,0.0,0.0,0,0,0,0
Christopher Pringle,1968-01-26,new zealand,Right-hand bat,Right-arm fast-medium,1990-05-23, new zealand,64,41,193,19,34,8.772,256,75.39,0,0,8,5,7,0,3314,2459,103,23.87,4.452,32.17,1,0,5/45,5/45
Colin de Grandhomme,1986-07-22,new zealand,Right-hand bat,Right-arm fast-medium,2012-03-03,new zealand,19,16,389,5,74,35.36,356,109.2,0,1,25,20,4,0,624,562,10,56.2,5.403,62.4,0,0,0/4,0/4
Colin Munro,1987-11-03,new zealand,Left-hand bat,Right-arm medium,2013-01-22,south africa,40,36,905,1,87,25.85,857,105.6,0,6,90,28,16,0,450,386,7,55.14,5.146,64.28,0,0,0/3,0/3
Corey James Anderson,1990-12-13,new zealand,Left-hand bat,Left-arm medium-fast,2013-06-16, new zealand,49,44,1109,4,131,27.72,1020,108.7,1,4,86,55,11,0,1485,1502,60,25.03,6.068,24.75,1,0,5/63,5/63
Craig Derek Cumming,1975-08-31,new zealand,Right-hand bat,Right-arm slow-medium,2003-11-29,pakistan,13,13,161,1,45,13.41,301,53.48,0,0,20,0,6,0,18,17,0,0.0,5.666,0.0,0,0,0/14,0/14
Craig Douglas McMillan,1976-09-13,new zealand,Right-hand bat,Right-arm medium,1997-05-20,new zealand,197,183,4707,16,117,28.18,6197,75.95,3,28,375,84,44,0,1879,1717,49,35.04,5.482,38.34,0,0,3/20,3/20
