Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Abdullah Mazari,07-03-1987,AFGHANISTAN,Left-hand bat,Slow left-arm,"October 9,2010",Kenya v Afghanistan,2,1,3,0,3,3.000,16,18.75,0,0,0,0,1,0,96,49,2,24.50,3.062,48.00,0,0,1/18,1/18
Afsar Khan Zazai,10-08-1993,AFGHANISTAN,Right-hand bat,NaN,"November 28,2014",United Arab Emirates v Afghanistan,17,16,264,1,60,17.60,488,54.09,0,2,15,0,20,2,--,--,--,--,--,--,--,--,,
Aftab Alam,30-11-1992,AFGHANISTAN,Right-hand bat,Right-arm medium-fast,"February 16,2010",Afghanistan v Canada,12,8,25,4,14,6.250,38,65.78,0,0,3,1,1,0,546,468,16,29.25,5.142,34.12,0,0,1/21,1/21
Ahmed Shah Ahmedzi,20-10-1983,AFGHANISTAN,Left-hand bat,Slow left-arm,"August 30,2009",Netherlands v Afghanistan,1,1,2,0,2,2.000,10,20.00,0,0,0,0,--,--,6,12,0,--,12.00,--,0,0,0/12,0/12
Mohammad Asghar Stanikzai,27-02-1987,AFGHANISTAN,Right-hand bat,Right-arm medium-fast,"April 19,2009",Afghanistan v Scotland,86,81,1608,6,101,21.44,2580,62.32,1,7,116,36,16,0,133,90,2,45.00,4.060,66.50,0,0,1/4,1/4
Dawlat Khan Ahmadzai,05-09-1984,AFGHANISTAN,Right-hand bat,Right-arm fast-medium,"April 19,2009",Afghanistan v Scotland,3,0,0,0,0,--,0,--,0,0,0,0,--,--,112,121,1,121.0,6.482,112.0,0,0,1/21,1/21
Dawlat Zadran,19-03-1988,AFGHANISTAN,Right-hand bat,Right-arm fast-medium,"August 7,2011",Canada v Afghanistan,72,49,500,25,47*,20.83,624,80.12,0,0,38,21,14,0,3271,2914,98,29.73,5.345,33.37,0,0,3/17,3/17
Gulbadeen Naib,16-03-1991,AFGHANISTAN,Right-hand bat,Right-arm medium-fast,"August 9,2011",Canada v Afghanistan,41,34,615,5,82*,21.20,851,72.26,0,4,39,22,8,0,1160,996,29,34.34,5.151,40.00,0,0,4/27,4/27
Hamid Hassan,01-06-1987,AFGHANISTAN,Right-hand bat,Right-arm fast-medium,"April 19,2009",Afghanistan v Scotland,32,18,92,5,17,7.076,171,53.80,0,0,9,2,4,0,1518,1153,56,20.58,4.557,27.10,1,0,4/19,4/19
Amir Hamza Hotak,15-08-1991,AFGHANISTAN,Right-hand bat,Slow left-arm,"February 10,2012",Pakistan v Afghanistan,31,16,23,9,7,3.285,94,24.46,0,0,0,1,10,0,1552,1016,40,25.40,3.927,38.80,0,0,3/19,3/19
Hashmatullah Shahidi,04-11-1994,AFGHANISTAN,Left-hand bat,Off-break,"October 2,2013",Afghanistan v Kenya,17,17,322,3,72,23.00,556,57.91,0,1,27,0,5,0,18,25,0,--,8.333,--,0,--,,
Hasti Gul Abid,01-01-1984,AFGHANISTAN,Right-hand bat,Right-arm medium,"April 19,2009",Afghanistan v Scotland,2,1,23,1,23*,--,11,209.0,0,0,2,1,--,--,114,73,3,24.33,3.842,38.00,0,0,2/48,2/48
Izatullah Dawlatzai,10-05-1991,AFGHANISTAN,Right-hand bat,Right-arm fast-medium,"October 9,2010",Kenya v Afghanistan,5,3,7,1,6*,3.500,27,25.92,0,0,1,0,1,0,210,146,8,18.25,4.171,26.25,0,0,4/38,4/38
Mohammad Javed Ahmadi,02-01-1992,AFGHANISTAN,Right-hand bat,Off-break,"July 9,2010",Afghanistan v Scotland,39,36,920,0,81,25.55,1161,79.24,0,7,110,12,9,0,341,275,7,39.28,4.838,48.71,0,0,1/27,1/27
Karim Sadiq Khan,18-02-1984,AFGHANISTAN,Right-hand bat,Off-break,"April 19,2009",Afghanistan v Scotland,24,22,475,2,114*,23.75,587,80.91,2,0,49,15,6,0,320,201,6,33.50,3.768,53.33,0,0,2/10,2/10
Khaliq Dad Noori,01-01-1984,AFGHANISTAN,Right-hand bat,Right-arm fast-medium,"April 19,2009",Afghanistan v Scotland,6,4,40,1,20,13.33,69,57.97,0,0,1,0,--,--,252,150,9,16.66,3.571,28.00,0,0,3/30,3/30
Mirwais Ashraf,30-06-1988,AFGHANISTAN,Right-hand bat,Right-arm fast-medium,"August 30,2009",Netherlands v Afghanistan,46,37,387,10,52*,14.33,543,71.27,0,1,22,16,8,0,2009,1360,46,29.56,4.061,43.67,0,0,4/35,4/35
Mohammad Nabi Eisakhil,07-03-1985,AFGHANISTAN,Right-hand bat,Off-break,"April 19,2009",Afghanistan v Scotland,98,88,2287,11,116,29.70,2623,87.19,1,11,145,73,50,0,4596,3295,103,31.99,4.301,44.62,0,0,4/10,4/10
Mohammad Shahzad,15-07-1991,AFGHANISTAN,Right-hand bat,NaN,"August 30,2009",Netherlands v Afghanistan,69,69,2239,3,131*,33.92,2501,89.52,4,12,263,45,54,22,--,--,--,--,--,--,--,--,,
Mohibullah Paak Oryakhel,12-10-1992,AFGHANISTAN,Right-hand bat,Right-arm medium,"March 6,2013",Afghanistan v Scotland,2,0,0,0,0,--,0,--,0,0,0,0,2,0,--,--,--,--,--,--,--,--,,
Najibullah Zadaran,18-02-1993,AFGHANISTAN,Left-hand bat,Off-break,"July 5,2012",Ireland v Afghanistan,45,42,998,6,89*,27.72,1150,86.78,0,8,79,41,29,0,30,30,0,--,6.000,--,0,0,0/9,0/9
Nawroz Khan Mangal,28-11-1984,AFGHANISTAN,Right-hand bat,Off-break,"April 19,2009",Afghanistan v Scotland,49,48,1139,6,129,27.11,1511,75.38,2,4,99,27,19,0,293,235,8,29.37,4.812,36.62,0,0,3/23,3/23
Noor Ali Zadran,10-07-1988,AFGHANISTAN,Right-hand bat,Right-arm medium-fast,"April 19,2009",Afghanistan v Scotland,46,45,1139,1,114,25.88,1799,63.31,1,7,121,4,15,0,--,--,--,--,--,--,--,--,,
Noor-ul-Haq Malekzai,02-04-1992,AFGHANISTAN,Right-hand bat,Leg-break,"August 17,2010",Scotland v Afghanistan,2,2,12,0,12,6.000,58,20.68,0,0,0,0,1,0,--,--,--,--,--,--,--,--,,
Raees Khan Ahmadzai,03-09-1984,AFGHANISTAN,Right-hand bat,Off-break,"April 19,2009",Afghanistan v Scotland,5,4,88,1,39,29.33,137,64.23,0,0,8,0,2,0,24,16,0,--,4.000,--,0,0,0/16,0/16
Rahmat Shah Zurmatai,06-07-1993,AFGHANISTAN,Right-hand bat,Leg-break googly,"March 6,2013",Afghanistan v Scotland,45,41,1497,2,114,38.38,2120,70.61,3,11,113,19,12,0,380,383,11,34.81,6.047,34.54,1,0,1/7,1/7
Rashid Khan Arman,20-09-1998,AFGHANISTAN,Right-hand bat,Leg-break googly,"October 18,2015",Zimbabwe v Afghanistan,44,32,578,5,60*,21.40,580,99.65,0,2,50,17,14,0,2181,1440,100,14.40,3.961,21.81,4,--,,
Samiullah Shenwari,31-12-1987,AFGHANISTAN,Right-hand bat,Leg-break,"April 19,2009",Afghanistan v Scotland,77,67,1692,9,96,29.17,2619,64.60,0,11,130,24,21,0,1985,1617,45,35.93,4.887,44.11,0,0,4/14,4/14
Shabir Ahmed Noori,23-02-1992,AFGHANISTAN,Right-hand bat,Off-break,"February 18,2010",Afghanistan v Canada,10,10,192,0,95,19.20,300,64.00,0,1,21,3,6,0,--,--,--,--,--,--,--,--,,
Mohammad Shafiqullah Shinwari,07-08-1989,AFGHANISTAN,Right-hand bat,NaN,"September 1,2009",Netherlands v Afghanistan,23,20,419,2,56,23.27,398,105.2,0,2,27,23,9,3,--,--,--,--,--,--,--,--,,
Shapoor Zadran,08-07-1987,AFGHANISTAN,Left-hand bat,Left-arm fast-medium,"August 30,2009",Netherlands v Afghanistan,43,27,67,17,17,6.700,160,41.87,0,0,5,3,5,0,1935,1543,43,35.88,4.784,45.00,0,0,4/24,4/24
Zakiullah Zaki,15-07-1990,AFGHANISTAN,Right-hand bat,Leg-break,"March 29,2012",Afghanistan v Netherlands,1,1,3,1,3*,--,22,13.63,0,0,0,0,--,--,24,27,0,--,6.750,--,0,0,0/27,0/27
