Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate.1,5WI,10WM,BBI,BBM
Aaron James Redmond,23-09-1979,NEW ZEALAND,Right-hand bat,Leg-break,"October 3,2009",New Zealand v Pakistan,6,6,152,0,52,25.33,259,58.68,0,1,19,0,3,0,--,--,--,--,--,--,--,--,,
Adam Fraser Milne,13-04-1992,NEW ZEALAND,Right-hand bat,Right-arm fast,"November 10,2012",Sri Lanka v New Zealand,40,17,168,7,36,16.80,165,101.8,0,0,11,4,21,0,1801,1581,41,38.56,5.267,43.92,0,0,1/8,1/8
Adam Craig Parore,23-01-1971,NEW ZEALAND,Right-hand bat,,"October 31,1992",Zimbabwe v New Zealand,179,161,3314,32,108,25.68,4867,68.09,1,14,169,36,116,25,--,--,--,--,--,--,--,--,,
Alex Ross Tait,13-06-1972,NEW ZEALAND,Right-hand bat,Right-arm medium,"October 24,1998",New Zealand v Zimbabwe,5,5,35,2,13*,11.66,32,109.3,0,0,2,1,--,--,120,88,3,29.33,4.400,40.00,0,0,2/37,2/37
Andre Ryan Adams,17-07-1975,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"April 10,2001",New Zealand v Sri Lanka,42,34,419,10,45,17.45,417,100.4,0,0,31,18,8,0,1885,1643,53,31.00,5.229,35.56,1,0,5/22,5/22
Andrew Malcolm Ellis,24-03-1982,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"February 3,2012",New Zealand v Zimbabwe,15,12,153,1,33,13.90,184,83.15,0,0,10,2,3,0,480,425,12,35.41,5.312,40.00,0,0,2/22,2/22
Andrew Howard Jones,09-05-1959,NEW ZEALAND,Right-hand bat,Off-break,"October 10,1987",New Zealand v Zimbabwe,87,87,2784,9,93,35.69,4811,57.86,0,25,199,8,23,0,306,216,4,54.00,4.235,76.50,0,0,2/42,2/42
Andrew Jonathan Penn,27-07-1974,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"March 27,1997",New Zealand v Sri Lanka,5,3,23,1,15,11.50,33,69.69,0,0,0,0,1,0,159,201,1,201.0,7.584,159.0,0,0,1/50,1/50
Andrew Duncan Glenn Roberts,06-05-1947,NEW ZEALAND,Right-hand bat,Right-arm medium,"October 16,1976",Pakistan v New Zealand,1,1,16,0,16,16.00,24,66.66,0,0,--,--,1,0,42,30,1,30.00,4.285,42.00,0,0,1/12,1/12
Andrew John McKay,17-04-1980,NEW ZEALAND,Right-hand bat,Left-arm fast-medium,"February 5,2010",New Zealand v Bangladesh,19,10,12,7,4*,4.000,47,25.53,0,0,0,0,3,0,926,800,27,29.62,5.183,34.29,0,0,4/53,4/53
Anton Paul Devcich,28-09-1985,NEW ZEALAND,Left-hand bat,Slow left-arm,"October 29,2013",Bangladesh v New Zealand,12,11,195,0,58,17.72,253,77.07,0,1,25,0,3,0,324,291,4,72.75,5.388,81.00,0,0,2/16,2/16
Barry George Hadlee,14-12-1941,NEW ZEALAND,Right-hand bat,,"March 8,1975",New Zealand v England,2,2,26,1,19,26.00,93,27.95,0,0,1,0,--,--,--,--,--,--,--,--,--,--,,
Bevan Ernest Congdon,11-02-1938,NEW ZEALAND,Right-hand bat,Right-arm medium,"February 11,1973",New Zealand v Pakistan,11,9,338,3,101,56.33,472,71.61,1,2,29,2,--,--,387,287,7,41.00,4.449,55.28,0,0,2/14,2/14
Bradley-John Watling,09-07-1985,NEW ZEALAND,Right-hand bat,,"August 13,2010",Sri Lanka v New Zealand,28,25,573,2,96*,24.91,838,68.37,0,5,58,3,20,0,--,--,--,--,--,--,--,--,,
Blair Robert Hartland,22-10-1966,NEW ZEALAND,Right-hand bat,Right-arm medium,"November 8,1992",Zimbabwe v New Zealand,16,16,311,1,68*,20.73,623,49.91,0,2,28,0,5,0,--,--,--,--,--,--,--,--,,
Brendon Paul Bracewell,14-09-1959,NEW ZEALAND,Right-hand bat,Right-arm medium,"July 17,1978",England v New Zealand,1,1,0,1,0*,--,4,0.000,0,0,0,0,--,--,66,41,1,41.00,3.727,66.00,0,0,1/26,1/41
Brendon John Diamanti,30-04-1981,NEW ZEALAND,Right-hand bat,Right-arm medium,"February 13,2009",Australia v New Zealand,1,1,26,1,26*,--,22,118.1,0,0,3,0,1,0,12,25,0,--,12.50,--,0,0,0/19,0/19
Brendon Barrie McCullum,27-09-1981,NEW ZEALAND,Right-hand bat,Right-arm medium,"January 17,2002",Australia v New Zealand,260,228,6083,28,166,30.41,6309,96.41,5,32,578,200,262,15,--,--,--,--,--,--,--,--,,
Brian Frederick Hastings,23-03-1940,NEW ZEALAND,Right-hand bat,Leg-break googly,"February 11,1973",New Zealand v Pakistan,11,9,151,1,37,18.87,271,55.71,0,0,12,--,4,0,--,--,--,--,--,--,--,--,,
Brian John McKechnie,06-11-1953,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"June 7,1975",East Africa v New Zealand,14,8,54,4,27,13.50,100,54.00,0,0,2,--,2,0,800,495,19,26.05,3.712,42.10,0,0,3/23,3/23
Brooke Graeme Keith Walker,25-03-1977,NEW ZEALAND,Right-hand bat,Leg-break,"October 22,2000",South Africa v New Zealand,11,7,47,4,16*,15.66,79,59.49,0,0,3,0,5,0,438,417,8,52.12,5.712,54.75,0,0,2/43,2/43
Bruce Robert Blair,27-12-1957,NEW ZEALAND,Left-hand bat,Right-arm medium,"February 17,1982",New Zealand v Australia,14,14,174,2,29*,14.50,253,68.77,0,0,12,1,4,0,30,34,1,34.00,6.800,30.00,0,0,1/7,1/7
Bruce Adrian Edgar,23-11-1956,NEW ZEALAND,Left-hand bat,Right-arm slow-medium,"July 17,1978",England v New Zealand,64,64,1814,5,102*,30.74,3661,49.54,1,10,125,2,12,0,12,5,0,--,2.500,--,0,0,0/3,0/3
Bruce Richard Taylor,12-07-1943,NEW ZEALAND,Left-hand bat,Right-arm fast-medium,"July 18,1973",England v New Zealand,2,1,22,0,22,22.00,42,52.38,0,0,4,0,1,0,114,62,4,15.50,3.263,28.50,0,0,3/25,3/25
Bryan Andrew Young,03-11-1964,NEW ZEALAND,Right-hand bat,,"December 11,1990",Australia v New Zealand,74,73,1668,5,74,24.52,2733,61.03,0,9,164,2,28,0,--,--,--,--,--,--,--,--,,
Carl Edwin Bulfin,19-08-1973,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"March 25,1999",New Zealand v South Africa,4,2,9,1,7*,9.000,8,112.5,0,0,0,1,1,0,102,109,0,--,6.411,--,0,0,0/31,0/31
Christopher Lance Cairns,13-06-1970,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"February 13,1991",New Zealand v England,215,193,4950,25,115,29.46,5874,84.26,4,26,345,153,66,0,8168,6594,201,32.80,4.843,40.63,1,0,5/31,5/42
Christopher James Drum,10-07-1974,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"January 14,1999",New Zealand v India,5,2,9,2,7*,--,22,40.90,0,0,1,0,1,0,216,261,4,65.25,7.250,54.00,0,0,2/26,2/31
Chris Zinzan Harris,20-11-1969,NEW ZEALAND,Left-hand bat,"Right-arm medium, Off-break","November 29,1990",Australia v New Zealand,250,213,4379,62,130,29.00,6583,66.51,1,16,275,43,96,0,10667,7613,203,37.50,4.282,52.54,1,0,5/42,5/42
Christopher Mary Kuggeleijn,10-05-1956,NEW ZEALAND,Right-hand bat,Off-break,"March 9,1988",New Zealand v England,16,11,142,2,40,15.77,223,63.67,0,0,7,1,9,0,817,604,12,50.33,4.435,68.08,0,0,2/31,2/31
Christopher Stewart Martin,10-12-1974,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"January 2,2001",New Zealand v Zimbabwe,20,7,8,2,3*,1.600,27,29.62,0,0,0,0,7,0,948,804,18,44.66,5.088,52.66,0,0,3/21,3/62
Christopher John Nevin,03-08-1975,NEW ZEALAND,Right-hand bat,Right-arm slow-medium,"March 1,2000",New Zealand v Australia,37,36,732,0,74,20.33,1000,73.20,0,4,82,3,16,3,--,--,--,--,--,--,--,--,,
Christopher Pringle,26-01-1968,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"May 23,1990",England v New Zealand,64,41,193,19,34*,8.772,256,75.39,0,0,8,5,7,0,3314,2459,103,23.87,4.452,32.17,1,0,5/45,5/45
Colin de Grandhomme,22-07-1986,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"March 3,2012",New Zealand v South Africa,19,16,389,5,74*,35.36,356,109.2,0,1,25,20,4,0,624,562,10,56.20,5.403,62.40,0,0,0/4,0/4
Colin Munro,11-03-1987,NEW ZEALAND,Left-hand bat,Right-arm medium,"January 22,2013",South Africa v New Zealand,40,36,905,1,87,25.85,857,105.6,0,6,90,28,16,0,450,386,7,55.14,5.146,64.28,0,0,0/3,0/3
Corey James Anderson,13-12-1990,NEW ZEALAND,Left-hand bat,Left-arm medium-fast,"June 16,2013",England v New Zealand,49,44,1109,4,131*,27.72,1020,108.7,1,4,86,55,11,0,1485,1502,60,25.03,6.068,24.75,1,0,5/63,5/63
Craig Derek Cumming,31-08-1975,NEW ZEALAND,Right-hand bat,Right-arm slow-medium,"November 29,2003",Pakistan v New Zealand,13,13,161,1,45*,13.41,301,53.48,0,0,20,0,6,0,18,17,0,--,5.666,--,0,0,0/14,0/14
Craig Douglas McMillan,13-09-1976,NEW ZEALAND,Right-hand bat,Right-arm medium,"May 20,1997",New Zealand v Sri Lanka,197,183,4707,16,117,28.18,6197,75.95,3,28,375,84,44,0,1879,1717,49,35.04,5.482,38.34,0,0,3/20,3/20
Craig Murray Spearman,04-07-1972,NEW ZEALAND,Right-hand bat,,"December 15,1995",New Zealand v Pakistan,51,50,936,0,86,18.72,1202,77.87,0,5,123,9,15,0,3,6,0,--,12.00,--,0,0,0/6,0/6
Daniel Raymond Flynn,16-04-1985,NEW ZEALAND,Left-hand bat,Chinaman,"February 23,2008",New Zealand v England,20,17,228,2,35*,15.20,360,63.33,0,0,23,2,4,0,24,25,0,--,6.250,--,0,0,0/0,0/0
Daniel Luca Vettori,27-01-1979,NEW ZEALAND,Left-hand bat,Slow left-arm,"March 25,1997",New Zealand v Sri Lanka,295,187,2253,57,83,17.33,2719,82.86,0,4,175,15,88,0,14060,9674,305,31.71,4.128,46.09,2,0,5/7,5/7
Daniel Kyle Morrison,03-02-1966,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"October 31,1987",India v New Zealand,96,43,171,24,20*,9.000,400,42.75,0,0,8,2,19,0,4586,3470,126,27.53,4.539,36.39,2,0,5/34,5/34
Darrin James Murray,04-09-1967,NEW ZEALAND,Right-hand bat,Right-arm medium,"November 3,1994",India v New Zealand,1,1,3,0,3,3.000,17,17.64,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Daryl Raymond Tuffey,11-06-1978,NEW ZEALAND,Right-hand bat,Right-arm fast-medium,"September 27,2000",Zimbabwe v New Zealand,95,52,295,21,36,9.516,373,79.08,0,0,23,7,20,0,4333,3534,110,32.12,4.893,39.39,0,0,4/12,4/24
David Robert O'Sullivan,16-11-1944,NEW ZEALAND,Right-hand bat,Slow left-arm,"March 30,1974",New Zealand v Australia,3,2,2,1,1*,2.000,5,40.00,0,0,0,0,--,--,126,123,2,61.50,5.857,63.00,0,0,1/38,1/38
