Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Khan Abdur Razzak,15-06-1982,BANGLADESH,Left-hand bat,Slow left-arm,"July 16,2004",Bangladesh v Hong Kong,153,97,779,39,53*,13.43,1020,76.37,0,1,55,21,32,0,7965,6065,207,29.29,4.568,38.47,4,0,5/29,5/29
Mohammad Abul Hasan,05-08-1992,BANGLADESH,Left-hand bat,Right-arm medium-fast,"November 30,2012",Bangladesh v West Indies,7,3,11,0,7*,3.666,16,68.75,0,0,1,0,1,0,216,244,0,--,6.777,--,0,0,0/9,0/9
Aftab Ahmed Chowdhury,10-11-1985,BANGLADESH,Right-hand bat,Right-arm medium,"September 12,2004",Bangladesh v South Africa,85,85,1954,6,92,24.73,2353,83.04,0,14,205,49,29,0,739,656,12,54.66,5.326,61.58,1,0,5/31,5/31
Shaker Ahmed Kamal,15-06-1977,BANGLADESH,Right-hand bat,Right-arm fast-medium,"October 9,1999",Bangladesh v West Indies,1,1,11,0,11,11.00,19,57.89,0,0,2,0,--,--,30,39,1,39.00,7.800,30.00,0,0,1/39,1/39
Mohammad Akram Hussain Khan,01-11-1968,BANGLADESH,Right-hand bat,Right-arm medium,"October 29,1988",Bangladesh v Pakistan,44,44,976,2,65,23.23,1685,57.92,0,5,69,--,8,0,117,138,0,--,7.076,--,0,0,0/6,0/6
Mohammad Al Sahariar,23-04-1978,BANGLADESH,Right-hand bat,Leg-break,"March 16,1999",Bangladesh v Pakistan,29,29,374,1,62*,13.35,709,52.75,0,2,45,1,7,0,--,--,--,--,--,--,--,--,,
Mohammad Al-Amin Hossain,01-01-1990,BANGLADESH,Right-hand bat,Right-arm medium-fast,"February 17,2014",Bangladesh v Sri Lanka,14,7,4,5,2*,2.000,20,20.00,0,0,0,0,1,0,603,523,21,24.90,5.204,28.71,0,0,2/17,2/17
Alok Kapali,01-01-1984,BANGLADESH,Right-hand bat,Leg-break,"August 4,2002",Sri Lanka v Bangladesh,69,66,1235,3,115,19.60,1817,67.96,1,5,101,10,29,0,1452,1255,24,52.29,5.186,60.50,0,0,3/3,3/33
Mohammad Aminul Islam,02-02-1968,BANGLADESH,Right-hand bat,Off-break,"October 27,1988",Bangladesh v India,39,39,794,5,70,23.35,1403,56.59,0,3,57,2,13,0,412,411,7,58.71,5.985,58.85,0,0,3/57,3/57
Mohammad Anamul Haque,16-12-1992,BANGLADESH,Right-hand bat,NaN,"November 30,2012",Bangladesh v West Indies,34,31,1005,0,120,32.41,1421,70.72,3,3,98,17,10,0,--,--,--,--,--,--,--,--,,
Anisur Rahman,01-03-1971,BANGLADESH,Left-arm medium-fast,NaN,"April 5,1995",Bangladesh v India,2,2,2,0,2,1.000,11,18.18,0,0,0,0,--,--,48,68,0,--,8.500,--,0,0,0/26,0/26
Mohammad Anwar Hossain,31-12-1981,BANGLADESH,Right-hand bat,Right-arm fast-medium,"October 9,2002",South Africa v Bangladesh,1,1,0,1,0*,--,8,0.000,0,0,0,0,--,--,48,45,0,--,5.625,--,0,0,0/45,0/45
Arafat Sunny,29-09-1986,BANGLADESH,Left-hand bat,Slow left-arm,"February 17,2014",Bangladesh v Sri Lanka,16,11,48,7,15,12.00,92,52.17,0,0,5,0,5,0,830,600,24,25.00,4.337,34.58,0,--,,
