Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Adam John Hollioake,05-09-1971,ENGLAND,Right-hand bat,Right-arm medium,"August 31,1996",England v Pakistan,35,30,606,6,83*,25.25,807,75.09,0,3,46,4,13,0,1208,1019,32,31.84,5.061,37.75,0,0,4/23,4/23
Adil Usman Rashid,17-02-1988,ENGLAND,Right-hand bat,Leg-break googly,"August 27,2009",Ireland v England,64,28,444,7,69,21.14,407,109.0,0,1,52,5,20,0,3262,3002,93,32.27,5.521,35.07,1,0,1/5,1/5
Ajmal Shahzad,27-07-1985,ENGLAND,Right-hand bat,Right-arm fast-medium,"March 5,2010",Bangladesh v England,11,8,39,2,9,6.500,60,65.00,0,0,0,3,4,0,588,490,17,28.82,5.000,34.58,0,0,3/41,3/41
Alan Raymond Butcher,07-01-1954,ENGLAND,Left-hand bat,"Left-arm medium, Slow left-arm","August 20,1980",England v Australia,1,1,14,0,14,14.00,26,53.84,0,0,1,0,--,--,--,--,--,--,--,--,--,--,,
Alan Paul Igglesden,08-10-1964,ENGLAND,Right-hand bat,Right-arm fast-medium,"February 16,1994",West Indies v England,4,3,20,1,18,10.00,31,64.51,0,0,2,0,1,0,168,122,2,61.00,4.357,84.00,0,0,2/12,2/12
Alan Philip Eric Knott,09-04-1946,ENGLAND,Right-hand bat,Off-break,"January 5,1971",Australia v England,20,14,200,4,50,20.00,247,80.97,0,1,17,1,15,1,--,--,--,--,--,--,--,--,,
Alan David Mullally,12-07-1969,ENGLAND,Right-hand bat,Left-arm fast-medium,"August 29,1996",England v Pakistan,50,25,86,10,20,5.733,238,36.13,0,0,10,1,8,0,2699,1728,63,27.42,3.841,42.84,0,0,4/18,4/18
Alan Peter Wells,02-10-1961,ENGLAND,Right-hand bat,Right-arm medium,"May 28,1995",England v West Indies,1,1,15,0,15,15.00,10,150.0,0,0,2,0,--,--,--,--,--,--,--,--,--,--,,
Alastair Nathan Cook,25-12-1984,ENGLAND,Left-hand bat,Off-break,"June 28,2006",England v Sri Lanka,92,92,3204,4,137,36.40,4154,77.13,5,19,363,10,36,0,--,--,--,--,--,--,--,--,,
Alec James Stewart,08-04-1963,ENGLAND,Right-hand bat,Right-arm medium,"October 15,1989",England v Sri Lanka,170,162,4677,14,116,31.60,6841,68.36,4,28,468,26,159,15,--,--,--,--,--,--,--,--,,
Alexander Daniel Hales,03-01-1989,ENGLAND,Right-hand bat,Right-arm medium,"August 27,2014",England v India,59,57,2018,2,171,36.69,2124,95.00,5,12,233,40,22,0,--,--,--,--,--,--,--,--,,
Alexander Guy Rushworth Loudon,06-09-1980,ENGLAND,Right-hand bat,Off-break,"June 24,2006",England v Sri Lanka,1,1,0,0,0,0.000,0,--,0,0,0,0,--,--,36,36,0,--,6.000,--,0,0,0/36,0/36
Alex Jeremy Tudor,23-10-1977,ENGLAND,Right-hand bat,Right-arm fast,"July 7,2002",England v Sri Lanka,3,2,9,1,6,9.000,11,81.81,0,0,0,0,1,0,127,136,4,34.00,6.425,31.75,0,0,2/25,2/30
