Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Aaron James Finch,17-11-1986,AUSTRALIA,Right-hand bat,Slow left-arm,"January 11,2013",Australia v Sri Lanka,88,84,3200,1,148,38.55,3552,90.09,10,18,339,70,43,0,152,130,2,65.00,5.131,76.00,0,0,1/2,1/2
Adam Craig Dale,30-12-1968,AUSTRALIA,Left-hand bat,Right-arm fast-medium,"March 29,1997",South Africa v Australia,30,12,78,8,15*,19.50,136,57.35,0,0,3,0,11,0,1596,979,32,30.59,3.680,49.87,0,0,3/18,3/18
Adam Craig Gilchrist,14-11-1971,AUSTRALIA,Left-hand bat,Off-break,"October 25,1996",Australia v South Africa,287,279,9619,11,172,35.89,9922,96.94,16,55,1162,149,417,55,--,--,--,--,--,--,--,--,,
Adam Charles Voges,04-10-1979,AUSTRALIA,Right-hand bat,Slow left-arm,"February 20,2007",New Zealand v Australia,31,28,870,9,112*,45.78,998,87.17,1,4,61,10,7,0,301,276,6,46.00,5.501,50.16,0,0,1/3,1/3
Alan Norman Connolly,29-06-1939,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 5,1971",Australia v England,1,0,0,0,0*,--,0,--,0,0,0,0,--,--,48,62,0,--,7.750,--,0,0,0/2,0/10
Alan George Hurst,15-07-1950,AUSTRALIA,Right-hand bat,Right-arm fast,"January 1,1975",Australia v England,8,4,7,4,3*,--,19,36.84,0,0,0,0,1,0,350,203,12,16.91,3.480,29.16,1,0,5/21,5/21
Alan Lloyd Thomson,02-12-1945,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 5,1971",Australia v England,1,0,0,0,0*,--,0,--,0,0,0,0,--,--,48,22,1,22.00,2.750,48.00,0,0,1/22,1/22
Alan Turner,23-07-1950,AUSTRALIA,Left-hand bat,NaN,"June 7,1975",Australia v Pakistan,6,6,247,0,101,41.16,309,79.93,1,0,25,1,3,0,--,--,--,--,--,--,--,--,,
Allan Robert Border,27-07-1955,AUSTRALIA,Left-hand bat,Slow left-arm,"January 13,1979",Australia v England,273,252,6524,39,127*,30.62,9086,71.80,3,39,500,43,127,0,2659,2071,73,28.36,4.673,36.42,0,0,3/20,3/20
Andrew Mark Jefferson Hilditch,20-05-1956,AUSTRALIA,Right-hand bat,Right-arm medium,"January 24,1979",Australia v England,8,8,226,0,72,28.25,476,47.47,0,1,15,0,1,0,--,--,--,--,--,--,--,--,,
Andrew Symonds,09-06-1975,AUSTRALIA,Right-hand bat,Off-break,"November 10,1998",Pakistan v Australia,198,161,5088,33,156,39.75,5503,92.45,6,30,448,103,82,0,5935,4955,133,37.25,5.009,44.62,1,0,5/18,5/18
Andris Karlis Zesers,11-03-1967,AUSTRALIA,Right-hand bat,Right-arm medium-fast,"October 22,1987",India v Australia,2,2,10,2,8*,--,14,71.42,0,0,1,0,1,0,90,74,1,74.00,4.933,90.00,0,0,1/37,1/37
Andrew John Bichel,27-08-1970,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 5,1997",Australia v West Indies,67,36,471,13,64,20.47,600,78.50,0,1,33,10,19,0,3257,2463,78,31.57,4.537,41.75,2,0,7/20,7/20
Anthony Mark Stuart,02-01-1970,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 5,1997",Australia v West Indies,3,1,1,0,1,1.000,7,14.28,0,0,0,0,2,0,180,109,8,13.62,3.633,22.50,1,0,5/26,5/26
Ashley Alexander Mallett,13-07-1945,AUSTRALIA,Right-hand bat,Off-break,"January 5,1971",Australia v England,9,3,14,1,8,7.000,36,38.88,0,0,1,0,4,0,468,341,11,31.00,4.371,42.54,0,0,3/14,3/34
Ashley Allan Noffke,30-04-1977,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"February 3,2008",Australia v India,1,0,0,0,0,--,0,--,0,0,0,0,--,--,54,46,1,46.00,5.111,54.00,0,0,1/23,1/23
Ashley James Woodcock,27-02-1947,AUSTRALIA,Right-hand bat,NaN,"March 31,1974",New Zealand v Australia,1,1,53,0,53,53.00,67,79.10,0,1,5,1,--,--,--,--,--,--,--,--,--,--,,
Ashton Charles Agar,14-10-1993,AUSTRALIA,Left-hand bat,Slow left-arm,"September 8,2015",England v Australia,4,3,14,1,9*,7.000,22,63.63,0,0,1,0,2,0,180,182,4,45.50,6.066,45.00,0,--,,
Benjamin Colin James Cutting,30-01-1987,WORLD XI,Right-hand bat,Right-arm fast,"January 13,2013",Australia v Sri Lanka,4,2,53,0,27,26.50,67,79.10,0,0,4,1,1,0,216,158,5,31.60,4.388,43.20,0,0,3/45,3/45
Benjamin William Hilfenhaus,15-03-1983,HOBART HURRICANES,Right-hand bat,Right-arm fast-medium,"January 14,2007",Australia v New Zealand,25,11,29,8,16*,9.666,69,42.02,0,0,2,0,10,0,1216,1075,29,37.06,5.304,41.93,1,0,5/33,5/33
Ben Laughlin,03-10-1982,HOBART HURRICANES,Right-hand bat,Right-arm fast-medium,"April 3,2009",South Africa v Australia,5,1,1,1,1*,--,9,11.11,0,0,0,0,2,0,224,219,4,54.75,5.866,56.00,0,0,1/25,1/25
William Morris Lawry,11-02-1937,AUSTRALIA,Left-hand bat,Left-arm medium,"January 5,1971",Australia v England,1,1,27,0,27,27.00,49,55.10,0,0,0,0,1,0,--,--,--,--,--,--,--,--,,
Robert George Holland,19-10-1946,AUSTRALIA,Right-hand bat,Leg-break googly,"January 15,1985",Australia v West Indies,2,0,0,0,0*,--,0,--,0,0,0,0,--,--,126,99,2,49.50,4.714,63.00,0,0,2/49,2/49
Robert Arnold Lockyer Massie,14-04-1947,AUSTRALIA,Left-hand bat,Right-arm medium-fast,"August 24,1972",England v Australia,3,1,16,1,16*,--,24,66.66,0,0,2,0,1,0,183,129,3,43.00,4.229,61.00,0,0,2/35,2/35
Robert Baddeley Simpson,03-02-1936,AUSTRALIA,Right-hand bat,Leg-break googly,"February 22,1978",West Indies v Australia,2,2,36,0,23*,18.00,53,67.92,0,0,3,1,4,0,102,95,2,47.50,5.588,51.00,0,0,2/10,2/30
Bradley James Haddin,23-10-1977,AUSTRALIA,Right-hand bat,NaN,"January 30,2001",Australia v Zimbabwe,126,115,3122,16,110,31.53,3706,84.24,2,16,296,71,170,11,--,--,--,--,--,--,--,--,,
Bradley John Hodge,29-12-1974,AUSTRALIA,Right-hand bat,Off-break,"December 3,2005",New Zealand v Australia,25,21,575,2,123,30.26,657,87.51,1,3,51,12,16,0,66,51,1,51.00,4.636,66.00,0,0,1/4,1/4
George Bradley Hogg,06-02-1971,AUSTRALIA,Left-hand bat,Chinaman,"August 26,1996",Australia v Zimbabwe,123,65,790,26,71*,20.25,1005,78.60,0,2,41,5,36,0,5563,4188,156,26.84,4.517,35.66,2,0,5/32,5/32
Brad Andrew Williams,20-11-1974,AUSTRALIA,Right-hand bat,Right-arm fast,"January 11,2002",Australia v New Zealand,25,6,27,4,13*,13.50,46,58.69,0,0,2,0,4,0,1203,814,35,23.25,4.059,34.37,2,0,5/22,5/22
Bradley Evan Young,23-02-1973,AUSTRALIA,Right-hand bat,Slow left-arm,"January 18,1998",Australia v South Africa,6,3,31,1,18,15.50,47,65.95,0,0,2,0,2,0,234,251,1,251.0,6.435,234.0,0,0,1/26,1/26
Brendon Paul Julian,10-08-1970,AUSTRALIA,Right-hand bat,Left-arm fast-medium,"May 23,1993",England v Australia,25,17,224,0,35,13.17,250,89.60,0,0,17,6,8,0,1146,997,22,45.31,5.219,52.09,0,0,3/40,3/40
Brett Raymond Dorey,03-10-1977,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"January 20,2006",Australia v South Africa,4,1,2,0,2,2.000,8,25.00,0,0,0,0,--,--,162,146,2,73.00,5.407,81.00,0,0,1/12,1/12
Brett Geeves,13-06-1982,AUSTRALIA,Right-hand bat,Right-arm fast-medium,"August 30,2008",Australia v Bangladesh,2,2,10,2,10*,--,11,90.90,0,0,1,0,1,0,90,78,3,26.00,5.200,30.00,0,0,2/11,2/11
Brett Lee,08-11-1976,AUSTRALIA,Right-hand bat,Right-arm fast,"January 9,2000",Australia v Pakistan,221,110,1176,44,59,17.81,1407,83.58,0,3,69,35,54,0,11185,8877,380,23.36,4.761,29.43,9,0,5/22,5/22
Bruce Malcolm Laird,21-11-1950,AUSTRALIA,Right-hand bat,NaN,"November 27,1979",Australia v West Indies,23,23,594,3,117*,29.70,1105,53.75,1,2,52,0,5,0,--,--,--,--,--,--,--,--,,
Bruce Anthony Reid,14-03-1963,AUSTRALIA,Left-hand bat,Left-arm fast-medium,"January 9,1986",Australia v New Zealand,61,21,49,8,10,3.769,117,41.88,0,0,2,0,6,0,3250,2203,63,34.96,4.067,51.58,1,0,5/53,5/53
Bruce Yardley,05-09-1947,AUSTRALIA,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break","April 12,1978",West Indies v Australia,7,4,58,0,28,14.50,98,59.18,0,0,1,0,1,0,198,130,7,18.57,3.939,28.28,0,0,3/28,3/28
Callum James Ferguson,21-11-1984,AUSTRALIA,Right-hand bat,Right-arm medium,"February 6,2009",Australia v New Zealand,30,25,663,9,71*,41.43,777,85.32,0,5,64,0,7,0,--,--,--,--,--,--,--,--,,
Cameron Leon White,18-08-1983,AUSTRALIA,Right-hand bat,Leg-break googly,"October 5,2005",Australia v ICC World XI,91,77,2072,16,105,33.96,2586,80.12,2,11,145,45,37,0,331,351,12,29.25,6.362,27.58,0,0,3/5,3/5
