Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Mohammad Afzaal Haider,12-12-1971,HONG KONG,Right-hand bat,Right-arm medium,"July 16,2004",Bangladesh v Hong Kong,4,4,22,1,22,7.333,52,42.30,0,0,4,0,1,0,180,227,4,56.75,7.566,45.00,0,0,1/31,1/31
Mohammad Aizaz Khan,21-03-1993,HONG KONG,Right-hand bat,Right-arm medium-fast,"November 8,2014",Hong Kong v Papua New Guinea,17,13,233,2,44,21.18,326,71.47,0,0,14,7,3,0,658,619,15,41.26,5.644,43.86,0,--,,
Alexander Niall French,01-12-1980,HONG KONG,Right-hand bat,Off-break,"July 16,2004",Bangladesh v Hong Kong,2,2,24,0,14,12.00,84,28.57,0,0,1,0,2,0,72,67,1,67.00,5.583,72.00,0,0,1/51,1/51
Ankur Sharma,01-11-1983,HONG KONG,Right-hand bat,Leg-break,"May 1,2014",Afghanistan v Hong Kong,4,4,36,1,18,12.00,69,52.17,0,0,1,0,1,0,--,--,--,--,--,--,--,--,,
Babar Hayat,05-01-1992,HONG KONG,Right-hand bat,Right-arm medium,"May 1,2014",Afghanistan v Hong Kong,20,20,759,2,89,42.16,950,79.89,0,8,69,24,10,0,6,9,0,--,9.000,--,0,--,,
Courtney Keith Kruger,18-02-1988,HONG KONG,Right-hand bat,NaN,"June 24,2008",Pakistan v Hong Kong,2,2,3,0,3,1.500,20,15.00,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Ehsan Nawaz,21-03-1995,HONG KONG,Right-hand bat,Right-arm fast-medium,"May 1,2014",Afghanistan v Hong Kong,10,8,19,3,11,3.800,63,30.15,0,0,1,0,2,0,441,380,15,25.33,5.170,29.40,0,--,,
Haseeb Amjad,11-11-1987,HONG KONG,Right-hand bat,Right-arm medium-fast,"May 1,2014",Afghanistan v Hong Kong,7,6,112,1,42,22.40,84,133.3,0,0,8,8,4,0,342,288,11,26.18,5.052,31.09,0,--,,
Khaled Hussain Butt,07-08-1976,HONG KONG,Right-hand bat,Right-arm fast-medium,"June 24,2008",Pakistan v Hong Kong,2,2,8,0,4,4.000,28,28.57,0,0,0,0,1,0,--,--,--,--,--,--,--,--,,
Mohammad Ilyas Gul,01-01-1968,HONG KONG,Right-hand bat,Off-break,"July 16,2004",Bangladesh v Hong Kong,2,2,17,0,16,8.500,59,28.81,0,0,1,0,--,--,114,113,4,28.25,5.947,28.50,0,0,3/46,3/46
Irfan Ahmed,20-11-1989,HONG KONG,Right-hand bat,Right-arm medium-fast,"June 24,2008",Pakistan v Hong Kong,6,6,99,0,37,16.50,126,78.57,0,0,14,3,2,0,290,299,8,37.37,6.186,36.25,0,0,2/24,2/24
James John Atkinson,24-08-1990,HONG KONG,Right-hand bat,NaN,"June 24,2008",Pakistan v Hong Kong,9,9,250,0,59,27.77,398,62.81,0,1,24,6,10,6,--,--,--,--,--,--,--,--,,
