Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Aashish Rakesh Kapoor,25-03-1971,INDIA,Right-hand bat,Off-break,"February 22,1995",Australia v India,17,6,43,0,19,7.166,63,68.25,0,0,2,1,1,0,900,612,8,76.50,4.080,112.5,0,0,2/19,2/29
Aavishkar Madhav Salvi,20-10-1981,INDIA,Right-hand bat,Right-arm medium,"April 11,2003",Bangladesh v India,4,3,4,1,4*,2.000,14,28.57,0,0,0,0,2,0,172,120,4,30.00,4.186,43.00,0,0,2/15,2/15
Abey Kuruvilla,04-08-1968,INDIA,Right-hand bat,Right-arm fast-medium,"April 26,1997",West Indies v India,25,11,26,4,7,3.714,43,60.46,0,0,1,1,4,0,1131,890,25,35.60,4.721,45.24,0,0,4/43,4/43
Abhijit Vasant Kale,03-07-1973,INDIA,Right-hand bat,Off-break,"April 16,2003",Bangladesh v India,1,1,10,0,10,10.00,22,45.45,0,0,1,0,--,--,--,--,--,--,--,--,--,--,,
Abhimanyu Mithun,25-10-1989,INDIA,Right-hand bat,Right-arm medium,"February 27,2010",India v South Africa,5,3,51,0,24,17.00,55,92.72,0,0,2,4,1,0,180,203,3,67.66,6.766,60.00,0,0,2/25,2/25
Abhishek Mohan Nayar,26-10-1983,INDIA,Left-hand bat,Right-arm medium,"July 3,2009",West Indies v India,3,1,0,1,0*,--,7,0.000,0,0,0,0,--,--,18,17,0,--,5.666,--,0,0,0/3,0/3
Ajaysinhji Daulatsinhji Jadeja,01-02-1971,INDIA,Right-hand bat,Right-arm medium,"February 28,1992",India v Sri Lanka,196,179,5359,36,119,37.47,7682,69.76,6,30,366,85,59,0,1248,1094,20,54.70,5.259,62.40,0,0,3/3,3/3
Ajay Ratra,13-12-1981,INDIA,Right-hand bat,Right-arm,"January 19,2002",India v England,12,8,90,1,30,12.85,127,70.86,0,0,8,0,11,5,--,--,--,--,--,--,--,--,,
Ajay Kumar Sharma,03-04-1964,INDIA,Right-hand bat,Slow left-arm,"January 2,1988",India v West Indies,31,27,424,6,59*,20.19,469,90.40,0,3,24,7,6,0,1140,875,15,58.33,4.605,76.00,0,0,3/41,3/41
Ajinkya Madhukar Rahane,06-06-1988,INDIA,Right-hand bat,Right-arm medium,"September 3,2011",England v India,90,87,2962,3,111,35.26,3767,78.63,3,24,293,33,48,0,--,--,--,--,--,--,--,--,,
Ajit Bhalchandra Agarkar,04-12-1977,INDIA,Right-hand bat,Right-arm fast-medium,"April 1,1998",India v Australia,191,113,1269,26,95,14.58,1574,80.62,0,3,103,22,53,0,9484,8021,288,27.85,5.074,32.93,2,0,6/41,6/42
Ajit Laxman Wadekar,01-04-1941,INDIA,Left-hand bat,"Left-arm medium, Slow left-arm","July 13,1974",England v India,2,2,73,0,67,36.50,90,81.11,0,1,11,0,1,0,--,--,--,--,--,--,--,--,,
