Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Albert van der Merwe,01-06-1979,IRELAND,Right-hand bat,Off-break,"July 9,2010",Netherlands v Ireland,9,6,15,2,8,3.750,25,60.00,0,0,0,1,1,0,432,323,11,29.36,4.486,39.27,1,0,5/49,5/49
Alex Richard Cusack,29-10-1980,IRELAND,Right-hand bat,Right-arm medium,"June 24,2007",Ireland v South Africa,59,47,745,14,71,22.57,1159,64.27,0,2,57,6,18,0,1954,1510,63,23.96,4.636,31.01,1,0,5/20,5/20
Andre Cornelius Botha,12-09-1975,IRELAND,Left-hand bat,Right-arm medium,"June 13,2006",Ireland v England,42,38,666,4,56,19.58,970,68.65,0,2,69,5,11,0,1560,1134,42,27.00,4.361,37.14,0,0,4/19,4/19
Andrew Balbirnie,28-12-1990,IRELAND,Right-hand bat,Off-break,"July 5,2010",Ireland v Scotland,47,45,1114,3,105,26.52,1569,71.00,2,5,111,8,11,0,60,68,2,34.00,6.800,30.00,0,--,,
Samuel Andrew Britton,10-02-1988,IRELAND,Right-hand bat,Right-arm fast-medium,"July 12,2009",Ireland v Kenya,1,0,0,0,0,--,0,--,0,0,0,0,--,--,36,37,0,--,6.166,--,0,0,0/37,0/37
Andrew David Poynter,25-04-1987,IRELAND,Right-hand bat,Off-break,"July 1,2008",Ireland v New Zealand,19,16,255,3,78,19.61,415,61.44,0,2,17,7,9,0,--,--,--,--,--,--,--,--,,
Andrew Roland White,03-07-1980,IRELAND,Right-hand bat,Off-break,"June 13,2006",Ireland v England,61,46,776,3,79,18.04,1235,62.83,0,1,60,1,21,0,869,688,25,27.52,4.750,34.76,0,0,4/44,4/44
Andrew Robert McBrine,30-04-1993,IRELAND,Left-hand bat,Off-break,"September 8,2014",Ireland v Scotland,30,17,212,8,79,23.55,244,86.88,0,1,14,5,16,0,1494,1119,32,34.96,4.494,46.68,0,--,,
David Langford-Smith,07-12-1976,IRELAND,Right-hand bat,Right-arm fast-medium,"June 13,2006",Ireland v England,22,17,142,8,31*,15.77,133,106.7,0,0,8,6,5,0,942,797,25,31.88,5.076,37.68,0,0,3/32,3/32
Dominick Ignatius Joyce,14-06-1981,IRELAND,Right-hand bat,NaN,"June 13,2006",Ireland v England,3,3,29,0,18,9.666,56,51.78,0,0,4,0,1,0,--,--,--,--,--,--,--,--,,
