Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Mohammad Adeel Khalid Raja,15-08-1980,NETHERLANDS,Right-hand bat,Off-break,"September 16,2002",Sri Lanka v Netherlands,21,12,28,2,8*,2.800,139,20.14,0,0,2,0,3,0,846,690,17,40.58,4.893,49.76,0,0,4/42,4/42
Malik Ahsan Ahmad Jamil,29-08-1989,NETHERLANDS,Right-hand bat,Right-arm medium-fast,"June 29,2011",Scotland v Netherlands,12,5,14,5,10*,--,27,51.85,0,0,1,0,4,0,471,408,12,34.00,5.197,39.25,0,0,3/16,3/16
Alexei Nicolaas Kervezee,11-09-1989,NETHERLANDS,Right-hand bat,Off-break,"July 4,2006",Netherlands v Sri Lanka,39,36,924,3,92,28.00,1260,73.33,0,4,95,10,18,0,24,34,0,--,8.500,--,0,0,0/8,0/8
Atse Folkert Buurman,21-03-1982,NETHERLANDS,Right-hand bat,NaN,"July 3,2007",Canada v Netherlands,17,11,140,2,34,15.55,179,78.21,0,0,15,0,17,3,--,--,--,--,--,--,--,--,,
Bastiaan Zuiderent,03-03-1977,NETHERLANDS,Right-hand bat,Right-arm medium,"February 17,1996",Netherlands v New Zealand,57,56,1097,10,77*,23.84,1874,58.53,0,8,92,9,26,0,--,--,--,--,--,--,--,--,,
Benjamin Nicolas Cooper,10-02-1992,NETHERLANDS,Left-hand bat,Right-arm medium,"August 27,2013",Canada v Netherlands,4,2,77,0,74,38.50,61,126.2,0,1,8,2,1,0,--,--,--,--,--,--,--,--,,
Berend Arnold Westdijk,05-03-1985,NETHERLANDS,Right-hand bat,Right-arm medium-fast,"February 22,2011",England v Netherlands,4,3,1,1,1*,0.500,6,16.66,0,0,0,0,1,0,156,195,1,195.0,7.500,156.0,0,0,1/56,1/56
Bernardus Pieters Loots,19-04-1979,NETHERLANDS,Right-hand bat,Right-arm medium,"July 9,2010",Netherlands v Ireland,7,5,16,2,9*,5.333,27,59.25,0,0,0,2,3,0,280,287,6,47.83,6.150,46.66,0,0,3/16,3/16
William Frederick Stelling,30-06-1969,NETHERLANDS,Right-hand bat,Right-arm fast-medium,"July 4,2006",Netherlands v Sri Lanka,15,11,180,5,44,30.00,272,66.17,0,0,8,2,7,0,699,567,22,25.77,4.867,31.77,0,0,3/12,3/12
Bradley Peter Kruger,17-09-1988,NETHERLANDS,Right-hand bat,Right-arm fast-medium,"July 5,2010",Netherlands v Canada,5,3,32,0,15,10.66,50,64.00,0,0,3,0,5,0,184,131,3,43.66,4.271,61.33,0,0,3/21,3/21
