Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Aamer Hameed,18-10-1954,PAKISTAN,Right-hand bat,Right-arm medium-fast,"December 23,1977",Pakistan v England,2,0,0,0,0,--,0,--,0,0,0,0,1,0,66,38,1,38.00,3.454,66.00,0,0,1/32,1/32
Aamer Hanif,04-10-1967,PAKISTAN,Right-hand bat,Right-arm medium,"November 2,1993",Pakistan v Sri Lanka,5,4,89,2,36*,44.50,128,69.53,0,0,6,0,--,--,130,122,4,30.50,5.630,32.50,0,0,3/36,3/36
Aamer Malik,03-01-1963,PAKISTAN,Right-hand bat,Right-arm fast-medium,"March 18,1988",West Indies v Pakistan,24,23,556,1,90,25.27,959,57.97,0,5,39,--,13,3,120,86,3,28.66,4.300,40.00,0,0,2/35,2/35
Aamer Nazir,02-01-1971,PAKISTAN,Right-hand bat,Right-arm fast-medium,"March 26,1993",West Indies v Pakistan,9,3,13,2,9*,13.00,20,65.00,0,0,0,0,--,--,417,346,11,31.45,4.978,37.90,0,0,3/43,3/43
Mohammad Aamer Sohail Ali,14-09-1966,PAKISTAN,Left-hand bat,Slow left-arm,"December 21,1990",Pakistan v Sri Lanka,156,155,4780,5,134,31.86,7312,65.37,5,31,466,19,49,0,4836,3703,85,43.56,4.594,56.89,0,0,4/22,4/22
Aaqib Javed,05-08-1972,PAKISTAN,Right-hand bat,Right-arm fast-medium,"December 10,1988",Pakistan v West Indies,163,51,267,26,45*,10.68,456,58.55,0,0,15,7,24,0,8012,5721,182,31.43,4.284,44.02,4,0,7/37,7/37
Abdul Qadir Khan,15-09-1955,PAKISTAN,Right-hand bat,Leg-break googly,"June 11,1983",New Zealand v Pakistan,104,68,641,26,41*,15.26,849,75.50,0,0,36,17,21,0,5100,3454,132,26.16,4.063,38.63,2,0,5/44,5/44
Abdul Razzaq,02-12-1979,PAKISTAN,Right-hand bat,Right-arm fast-medium,"November 1,1996",Pakistan v Zimbabwe,265,228,5080,57,112,29.70,6253,81.24,3,23,382,124,35,0,10941,8564,269,31.83,4.696,40.67,3,0,6/35,6/35
Abdur Rauf Khan,09-12-1978,PAKISTAN,Right-hand bat,Right-arm fast-medium,"February 2,2008",Pakistan v Zimbabwe,4,0,0,0,0,--,0,--,0,0,0,0,2,0,214,212,8,26.50,5.943,26.75,0,0,3/24,3/24
Abdur Rehman,01-03-1980,PAKISTAN,Left-hand bat,Slow left-arm,"December 7,2006",Pakistan v West Indies,31,23,142,6,31,8.352,263,53.99,0,0,11,1,7,0,1624,1142,30,38.06,4.219,54.13,0,0,4/36,4/48
Adnan Akmal,13-03-1985,PAKISTAN,Right-hand bat,NaN,"September 8,2011",Zimbabwe v Pakistan,5,4,62,1,27,20.66,89,69.66,0,0,3,0,3,0,--,--,--,--,--,--,--,--,,
Ahmed Shehzad,23-11-1991,LAHORE LIONS,Right-hand bat,Leg-break,"April 24,2009",Australia v Pakistan,81,81,2605,1,124,32.56,3614,72.08,6,14,269,18,28,0,115,140,2,70.00,7.304,57.50,0,0,0/4,0/4
Aizaz Bin Ilyas Cheema,05-09-1979,LAHORE LIONS,Right-hand bat,Right-arm medium-fast,"September 8,2011",Zimbabwe v Pakistan,14,6,26,3,9*,8.666,45,57.77,0,0,2,0,2,0,658,593,23,25.78,5.407,28.60,0,0,4/24,4/30
Akhtar Sarfraz,20-02-1976,PAKISTAN,Left-hand bat,Left-arm medium,"December 12,1997",Pakistan v West Indies,4,4,66,0,25,16.50,99,66.66,0,0,4,1,--,--,--,--,--,--,--,--,--,--,,
Mohammad Akram Raza,22-11-1964,PAKISTAN,Right-hand bat,Off-break,"October 23,1989",Australia v Pakistan,49,25,193,14,33*,17.54,310,62.25,0,0,8,2,19,0,2601,1611,38,42.39,3.716,68.44,0,0,3/18,3/18
Anil Dalpat Sonavaria,20-09-1963,PAKISTAN,Right-hand bat,NaN,"March 26,1984",Pakistan v England,15,10,87,3,37,12.42,136,63.97,0,0,7,0,13,2,--,--,--,--,--,--,--,--,,
Anwar Ali,25-11-1987,PAKISTAN,Right-hand bat,Right-arm medium-fast,"November 24,2013",South Africa v Pakistan,22,16,321,5,43*,29.18,367,87.46,0,0,29,7,5,0,927,944,18,52.44,6.110,51.50,0,0,2/24,2/24
Arshad Khan,22-03-1971,PAKISTAN,Right-hand bat,Off-break,"February 1,1993",Pakistan v Zimbabwe,58,29,133,18,20,12.09,217,61.29,0,0,6,1,10,0,2823,1948,56,34.78,4.140,50.41,0,0,4/33,4/33
Arshad Pervez,01-10-1953,PAKISTAN,Right-hand bat,Right-arm medium,"January 13,1978",Pakistan v England,2,2,11,0,8,5.500,47,23.40,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Asad Ali,14-10-1988,PAKISTAN,Right-hand bat,Right-arm medium-fast,"May 26,2013",Ireland v Pakistan,4,2,13,0,11,6.500,16,81.25,0,0,0,1,--,--,180,115,2,57.50,3.833,90.00,0,0,1/22,1/22
Sheikh Mohammad Asad Shafiq,28-01-1986,PAKISTAN,Right-hand bat,Leg-break,"June 21,2010",Bangladesh v Pakistan,60,58,1336,4,84,24.74,1979,67.50,0,9,108,5,14,0,12,18,0,--,9.000,--,0,--,,
Ashfaq Ahmed,06-06-1973,PAKISTAN,Right-hand bat,Right-arm fast-medium,"August 3,1994",Sri Lanka v Pakistan,3,0,0,0,0,--,0,--,0,0,0,0,--,--,102,84,0,--,4.941,--,0,0,0/20,0/20
Ashraf Ali,22-04-1958,PAKISTAN,Right-hand bat,NaN,"December 5,1980",Pakistan v West Indies,16,9,69,5,19*,17.25,135,51.11,0,0,3,0,17,3,--,--,--,--,--,--,--,--,,
Asif Iqbal Razvi,06-06-1943,PAKISTAN,Right-hand bat,Right-arm medium,"February 11,1973",New Zealand v Pakistan,10,8,330,2,62,55.00,466,70.81,0,5,33,2,7,0,582,378,16,23.62,3.896,36.37,0,0,4/46,4/56
Raja Asif Mahmood,18-12-1975,PAKISTAN,Right-hand bat,Off-break,"November 8,1998",Pakistan v Australia,2,2,14,0,14,7.000,34,41.17,0,0,2,0,--,--,--,--,--,--,--,--,--,--,,
Syed Asif Masood Shah,23-01-1946,PAKISTAN,Right-hand bat,Right-arm fast-medium,"February 11,1973",New Zealand v Pakistan,7,3,10,1,6,5.000,17,58.82,0,0,0,0,1,0,372,234,5,46.80,3.774,74.40,0,0,2/9,2/9
Mohammad Asif Mujtaba,04-11-1967,PAKISTAN,Left-hand bat,Slow left-arm,"November 4,1986",Pakistan v West Indies,66,55,1068,14,113*,26.04,1671,63.91,1,6,66,2,18,0,756,658,7,94.00,5.222,108.0,0,0,2/38,2/38
Ata-ur-Rehman,28-03-1975,PAKISTAN,Right-hand bat,Right-arm fast-medium,"December 4,1992",Pakistan v West Indies,30,13,34,6,11*,4.857,76,44.73,0,0,2,0,--,--,1492,1186,27,43.92,4.769,55.25,0,0,3/27,3/27
Atiq-uz-Zaman,20-07-1975,PAKISTAN,Right-hand bat,Off-break,"August 20,2000",New Zealand v Pakistan,3,3,34,1,18,17.00,36,94.44,0,0,2,0,3,1,--,--,--,--,--,--,--,--,,
