Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Average,Balls faced,Stick rate,100s,50s,4s,6s,Ct,St,B,R,Wickets,Avg,EC,SR,5WI,10WM,BBI,BBM
Aaron Mpho Phangiso,21-01-1984,SOUTH AFRICA,Right-hand bat,Slow left-arm,"December 23,2012",South Africa v New Zealand,21,13,81,2,20,7.363,162,50.00,0,0,5,0,4,0,1085,829,26,31.88,4.584,41.73,0,0,1/13,1/13
Abraham Benjamin de Villiers,17-02-1984,SOUTH AFRICA,Right-hand bat,Right-arm medium,"February 2,2005",South Africa v England,228,218,9577,39,176,53.50,9473,101.0,25,53,840,204,176,5,192,202,7,28.85,6.312,27.42,0,0,0/5,0/5
Adam Marc Bacher,29-10-1973,SOUTH AFRICA,Right-hand bat,Right-arm medium,"February 2,1997",South Africa v India,13,13,270,0,56,20.76,469,57.56,0,1,26,0,4,0,108,64,3,21.33,3.555,36.00,0,0,2/36,2/36
Adrian Paul Kuiper,24-08-1959,SOUTH AFRICA,Right-hand bat,"Right-arm medium, Off-break","November 10,1991",India v South Africa,25,23,539,7,63*,33.68,662,81.41,0,3,37,11,3,0,588,518,18,28.77,5.285,32.66,0,0,3/33,3/33
Alan Charles Dawson,27-11-1969,SOUTH AFRICA,Right-hand bat,Right-arm medium-fast,"October 25,1998",England v South Africa,19,7,69,4,23*,23.00,67,102.9,0,0,9,1,2,0,901,715,21,34.04,4.761,42.90,0,0,4/49,4/49
Johannes Albertus Morkel,10-06-1981,SOUTH AFRICA,Left-hand bat,Right-arm medium-fast,"February 20,2004",New Zealand v South Africa,58,43,782,10,97,23.69,780,100.2,0,2,70,25,15,0,2073,1899,50,37.98,5.496,41.46,0,0,4/29,4/29
Allan Anthony Donald,20-10-1966,SOUTH AFRICA,Right-hand bat,Right-arm fast,"November 10,1991",India v South Africa,164,40,95,18,13,4.318,279,34.05,0,0,2,0,28,0,8561,5926,272,21.78,4.153,31.47,2,0,6/23,6/23
Alviro Nathan Petersen,25-11-1980,SOUTH AFRICA,Right-hand bat,Right-arm medium,"September 18,2006",South Africa v Zimbabwe,21,19,504,1,80,28.00,610,82.62,0,4,54,3,5,0,6,7,0,--,7.000,--,0,0,0/1,0/1
Andre Nel,15-07-1977,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"May 12,2001",West Indies v South Africa,79,22,127,12,30*,12.70,166,76.50,0,0,14,3,21,0,3801,2935,106,27.68,4.633,35.85,1,0,5/45,5/45
Andrew James Hall,31-07-1975,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"January 27,1999",South Africa v West Indies,88,56,905,13,81,21.04,1205,75.10,0,3,90,10,29,0,3341,2515,95,26.47,4.516,35.16,1,0,5/18,5/18
Andrew Charles Hudson,17-03-1965,SOUTH AFRICA,Right-hand bat,Right-arm medium,"November 10,1991",India v South Africa,89,88,2559,1,161,29.41,3964,64.55,2,18,278,15,18,0,6,3,0,--,3.000,--,0,0,0/3,0/3
Ashwell Gavin Prince,28-05-1977,SOUTH AFRICA,Left-hand bat,Off-break,"October 9,2002",South Africa v Bangladesh,52,41,1018,12,89*,35.10,1502,67.77,0,3,78,4,26,0,12,3,0,--,1.500,--,0,0,0/3,0/3
Hendrik Human Dippenaar,14-06-1977,SOUTH AFRICA,Right-hand bat,Off-break,"September 26,1999",India v South Africa,107,95,3421,14,125*,42.23,5047,67.78,4,26,334,16,36,0,--,--,--,--,--,--,--,--,,
Brett Nolan Schultz,26-08-1970,SOUTH AFRICA,Left-hand bat,Left-arm fast,"December 9,1992",South Africa v India,1,0,0,0,0*,--,0,--,0,0,0,0,--,--,54,35,1,35.00,3.888,54.00,0,0,1/25,1/25
Brian Mervin McMillan,22-12-1963,SOUTH AFRICA,Right-hand bat,Right-arm medium-fast,"November 10,1991",India v South Africa,78,52,841,16,127,23.36,1149,73.19,1,0,55,7,42,0,3623,2589,70,36.98,4.287,51.75,0,0,4/32,4/32
Charl Kenneth Langeveldt,17-12-1974,CAPE COBRAS,Right-hand bat,Right-arm fast-medium,"October 14,2001",South Africa v Kenya,72,21,73,10,12,6.636,124,58.87,0,0,8,0,11,0,3489,2962,100,29.62,5.093,34.89,2,0,5/39,5/39
Charl Myles Willoughby,03-12-1974,SOUTH AFRICA,Left-hand bat,Left-arm fast-medium,"March 28,2000",Pakistan v South Africa,3,2,0,0,0*,0.000,4,0.000,0,0,0,0,--,--,168,148,2,74.00,5.285,84.00,0,0,2/29,2/29
Christopher Henry Morris,30-04-1987,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"June 10,2013",Pakistan v South Africa,34,23,393,3,62,19.65,404,97.27,0,1,32,12,6,0,1512,1415,35,40.42,5.615,43.20,0,0,2/7,2/7
Claude William Henderson,14-06-1972,CAPE COBRAS,Right-hand bat,Slow left-arm,"September 23,2001",Zimbabwe v South Africa,4,0,0,0,0,--,0,--,0,0,0,0,--,--,217,132,7,18.85,3.649,31.00,0,0,4/17,4/17
Clive Edward Eksteen,02-12-1966,SOUTH AFRICA,Right-hand bat,Slow left-arm,"November 12,1991",India v South Africa,6,2,6,2,6*,--,25,24.00,0,0,0,0,3,0,222,181,2,90.50,4.891,111.0,0,0,1/25,1/26
Colin Alexander Ingram,03-07-1985,SOUTH AFRICA,Left-hand bat,Leg-break,"October 8,2010",South Africa v Zimbabwe,31,29,843,3,124,32.42,1024,82.32,3,3,82,10,12,0,6,17,0,--,17.00,--,0,0,0/17,0/17
Craig Russell Matthews,15-02-1965,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"November 12,1991",India v South Africa,56,22,141,9,26,10.84,202,69.80,0,0,5,2,10,0,3003,1975,79,25.00,3.946,38.01,0,0,4/10,4/10
Dale Willem Steyn,27-06-1983,CAPE COBRAS,Right-hand bat,Right-arm fast,"August 17,2005",African XI v Asian Cricket Council XI,116,47,298,11,35,8.277,461,64.64,0,0,26,8,26,0,5821,4793,180,26.62,4.940,32.33,3,0,6/8,6/39
Dane James Vilas,10-06-1985,CAPE COBRAS,Right-hand bat,NaN,"March 30,2012",South Africa v India,0,--,--,--,--,--,--,--,--,--,--,--,--,ODIs,--,--,--,--,--,--,--,,,
Daryll John Cullinan,04-03-1967,SOUTH AFRICA,Right-hand bat,Off-break,"February 9,1993",South Africa v Pakistan,138,133,3860,16,124,32.99,5492,70.28,3,23,298,33,62,0,174,124,5,24.80,4.275,34.80,0,0,2/30,2/30
David John Richardson,16-09-1959,SOUTH AFRICA,Right-hand bat,NaN,"November 10,1991",India v South Africa,122,77,868,33,53,19.72,1298,66.87,0,1,33,1,148,17,--,--,--,--,--,--,--,--,,
David Andrew Miller,10-06-1989,WORLD XI,Left-hand bat,Off-break,"May 20,2010",West Indies v South Africa,105,93,2503,27,138*,37.92,2475,101.1,4,10,185,74,50,0,--,--,--,--,--,--,--,--,,
David John Terbrugge,31-01-1977,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"January 23,2000",South Africa v England,4,2,5,1,5,5.000,14,35.71,0,0,0,0,--,--,126,105,4,26.25,5.000,31.50,0,0,4/20,4/20
David Wiese,18-05-1985,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"August 2,2013",Sri Lanka v South Africa,6,6,102,1,41*,20.40,115,88.69,0,0,7,5,--,--,294,316,9,35.11,6.449,32.66,0,--,,
Dean Elgar,11-06-1987,SOUTH AFRICA,Left-hand bat,Slow left-arm,"August 24,2012",England v South Africa,6,5,98,1,42,24.50,160,61.25,0,0,5,0,3,0,96,67,2,33.50,4.187,48.00,0,0,1/3,1/3
Francois du Plessis,13-07-1984,WORLD XI,Right-hand bat,Leg-break,"January 18,2011",South Africa v India,117,112,4379,14,185,44.68,4959,88.30,9,29,378,54,60,0,192,189,2,94.50,5.906,96.00,0,0,1/3,1/3
Petrus Stephanus de Villiers,13-10-1964,SOUTH AFRICA,Right-hand bat,Right-arm fast-medium,"December 7,1992",South Africa v India,83,36,170,15,20*,8.095,218,77.98,0,0,13,2,15,0,4422,2636,95,27.74,3.576,46.54,0,0,4/27,4/27
Farhaan Behardien,09-10-1983,SOUTH AFRICA,Right-hand bat,Right-arm medium-fast,"March 30,2012",South Africa v India,59,49,1074,14,70,30.68,1097,97.90,0,6,79,25,27,0,748,719,14,51.35,5.767,53.42,0,0,3/19,3/19
Garnett John-Peter Kruger,05-01-1977,SOUTH AFRICA,Right-hand bat,Right-arm medium-fast,"January 9,2006",Australia v South Africa,3,2,0,1,0*,0.000,10,0.000,0,0,0,0,1,0,138,139,2,69.50,6.043,69.00,0,0,1/43,1/43
Gary Kirsten,23-11-1967,SOUTH AFRICA,Left-hand bat,Off-break,"December 14,1993",Australia v South Africa,185,185,6798,19,188*,40.95,9436,72.04,13,45,659,20,61,1,30,23,0,--,4.600,--,0,0,0/0,0/0
