Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Alasdair Campbell Evans,12-01-1989,SCOTLAND,Right-hand bat,Right-arm medium-fast,"July 7,2009",Scotland v Canada,30,15,94,8,28,13.42,142,66.19,0,0,9,1,5,0,1386,1173,41,28.60,5.077,33.80,0,0,1/9,1/9
Alec George Davies,14-08-1962,SCOTLAND,Right-hand bat,NaN,"May 16,1999",Australia v Scotland,5,5,83,1,32,20.75,154,53.89,0,0,7,0,2,1,--,--,--,--,--,--,--,--,,
Asim Butt,24-10-1967,SCOTLAND,Right-hand bat,Left-arm medium-fast,"May 16,1999",Australia v Scotland,5,4,23,0,11,5.750,28,82.14,0,0,0,2,--,--,222,148,4,37.00,4.000,55.50,0,0,2/24,2/24
Bruce Mathew Winston Patterson,29-01-1965,SCOTLAND,Right-hand bat,NaN,"May 16,1999",Australia v Scotland,3,3,10,0,10,3.333,43,23.25,0,0,2,0,--,--,--,--,--,--,--,--,--,--,,
Calum Scott MacLeod,15-11-1988,SCOTLAND,Right-hand bat,Right-arm medium-fast,"August 18,2008",Scotland v England,56,54,1713,5,175,34.95,2130,80.42,6,6,177,18,22,0,674,618,8,77.25,5.501,84.25,0,0,2/17,2/17
Colin John Ogilvie Smith,27-09-1972,SCOTLAND,Right-hand bat,NaN,"June 27,2006",Scotland v Pakistan,27,26,432,4,59,19.63,639,67.60,0,2,49,3,21,11,--,--,--,--,--,--,--,--,,
Craig Donald Wallace,27-06-1990,SCOTLAND,Right-hand bat,NaN,"July 11,2012",Scotland v Canada,22,18,328,0,58,18.22,347,94.52,0,3,28,8,11,2,--,--,--,--,--,--,--,--,,
Craig McIntyre Wright,28-04-1974,SCOTLAND,Right-hand bat,Right-arm medium,"August 5,2006",Scotland v Ireland,20,18,240,3,37,16.00,352,68.18,0,0,15,4,1,0,861,663,29,22.86,4.620,29.68,0,0,4/29,4/29
David Murphy,24-06-1989,SCOTLAND,Right-hand bat,Off-break,"March 6,2013",Afghanistan v Scotland,8,7,58,2,20*,11.60,118,49.15,0,0,3,0,8,3,--,--,--,--,--,--,--,--,,
Johann Dewald Nel,06-06-1980,SCOTLAND,Right-hand bat,Right-arm medium-fast,"June 27,2006",Scotland v Pakistan,19,10,31,8,11*,15.50,56,55.35,0,0,2,0,3,0,730,649,14,46.35,5.334,52.14,0,0,4/25,4/25
Douglas Ross Lockhart,19-01-1976,SCOTLAND,Right-hand bat,Right-arm medium,"June 27,2006",Scotland v Pakistan,14,11,218,2,46,24.22,338,64.49,0,0,13,1,11,0,--,--,--,--,--,--,--,--,,
David Fraser Watts,05-06-1979,SCOTLAND,Right-hand bat,Right-arm medium,"August 6,2006",Scotland v Netherlands,36,35,974,1,101,28.64,1559,62.47,1,9,79,8,7,0,--,--,--,--,--,--,--,--,,
