Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Balapuwaduge Ajantha Winslo Mendis,11-03-1985,SRI LANKA,Right-hand bat,Right-arm slow,"April 10,2008",West Indies v Sri Lanka,88,42,188,19,21*,8.173,263,71.48,0,0,16,2,15,0,4154,3324,152,21.86,4.801,27.32,3,0,6/8,6/8
Ginigalgodage Ramba Ajit de Silva,12-12-1952,SRI LANKA,Left-hand bat,Slow left-arm,"June 14,1975",Pakistan v Sri Lanka,6,4,9,2,6*,4.500,33,27.27,0,0,--,--,2,0,305,262,9,29.11,5.154,33.88,0,0,3/41,3/41
Ajith Priyantha Weerakkody,01-10-1970,SRI LANKA,Right-hand bat,Right-arm fast-medium,"April 18,1994",New Zealand v Sri Lanka,1,1,2,0,2,2.000,4,50.00,0,0,0,0,--,--,36,41,0,--,6.833,--,0,0,0/41,0/41
Withanaarchchige Chamara Akalanka Ganegama,29-03-1981,SRI LANKA,Right-hand bat,Right-arm fast-medium,"April 8,2001",Pakistan v Sri Lanka,4,2,7,0,7,3.500,9,77.77,0,0,1,0,1,0,66,88,2,44.00,8.000,33.00,0,0,2/27,2/27
Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,04-10-1993,SRI LANKA,Left-hand bat,Off-break,"November 12,2012",Sri Lanka v New Zealand,19,14,154,2,50*,12.83,251,61.35,0,1,14,1,7,0,937,777,21,37.00,4.975,44.61,1,--,,
Sampathwaduge Amal Rohitha Silva,12-12-1960,SRI LANKA,Left-hand bat,Off-break,"November 3,1984",Sri Lanka v New Zealand,20,20,441,0,85,22.05,838,52.62,0,3,31,0,17,3,--,--,--,--,--,--,--,--,,
Angelo Davis Mathews,02-06-1987,SRI LANKA,Right-hand bat,Right-arm fast-medium,"November 28,2008",Zimbabwe v Sri Lanka,197,166,5107,44,139*,41.86,6097,83.76,2,35,397,81,48,0,5071,3901,114,34.21,4.615,44.48,1,0,6/20,6/20
Angelo Kanishka Perera,23-02-1990,SOUTHERN EXPRESS,Right-hand bat,Slow left-arm,"July 26,2013",Sri Lanka v South Africa,4,2,8,0,7,4.000,21,38.09,0,0,0,0,1,0,24,22,0,--,5.500,--,0,0,0/5,0/5
Anura Nandana Ranasinghe,13-10-1956,SRI LANKA,Right-hand bat,"Left-arm medium, Slow left-arm","June 7,1975",Sri Lanka v West Indies,9,8,153,1,51,21.85,147,104.0,0,1,6,1,--,--,324,281,2,140.5,5.203,162.0,0,0,1/21,1/21
Anura Punchi Banda Tennekoon,29-10-1946,SRI LANKA,Right-hand bat,Slow left-arm,"June 7,1975",Sri Lanka v West Indies,4,4,137,0,59,34.25,207,66.18,0,1,16,0,3,0,--,--,--,--,--,--,--,--,,
Pinnaduwage Aravinda de Silva,17-10-1965,SRI LANKA,Right-hand bat,Off-break,"March 31,1984",Sri Lanka v New Zealand,308,296,9284,30,145,34.90,11443,81.13,11,64,708,98,95,0,5148,4177,106,39.40,4.868,48.56,0,0,4/30,4/30
Arjuna Ranatunga,01-12-1963,SRI LANKA,Left-hand bat,Right-arm medium,"February 14,1982",Sri Lanka v England,269,255,7456,47,131*,35.84,9558,78.00,4,49,519,57,63,0,4710,3757,79,47.55,4.786,59.62,0,0,4/14,4/14
Aruna Alwis Wijesiri Gunawardene,31-03-1969,SRI LANKA,Right-hand bat,Right-arm medium,"February 18,1994",India v Sri Lanka,1,1,2,0,2,2.000,10,20.00,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Asanka Pradeep Gurusinha,16-09-1966,SRI LANKA,Left-hand bat,Right-arm medium,"November 3,1985",Pakistan v Sri Lanka,147,143,3902,5,117*,28.27,6405,60.92,2,22,278,40,49,0,1585,1354,26,52.07,5.125,60.96,0,0,2/7,2/18
Subasinghe Mudiyanselage Ashan Priyanjan,14-08-1989,SRI LANKA,Right-hand bat,Right-arm medium-fast,"December 25,2013",Pakistan v Sri Lanka,23,20,420,2,74,23.33,522,80.45,0,2,47,3,7,0,265,233,5,46.60,5.275,53.00,0,0,2/11,2/11
Ashantha Lakdasa Francis de Mel,09-05-1959,SRI LANKA,Right-hand bat,Right-arm medium-fast,"February 13,1982",Sri Lanka v England,57,41,466,9,36,14.56,595,78.31,0,0,21,0,13,0,2735,2237,59,37.91,4.907,46.35,2,0,5/32,5/32
Ashley Matthew de Silva,03-12-1963,SRI LANKA,Right-hand bat,NaN,"March 2,1986",Sri Lanka v Pakistan,4,2,12,0,8,6.000,24,50.00,0,0,0,0,4,2,--,--,--,--,--,--,--,--,,
Ellawalakankanamge Asoka Ranjit de Silva,28-03-1956,SRI LANKA,Left-hand bat,Leg-break googly,"December 24,1986",India v Sri Lanka,28,20,138,6,19*,9.857,241,57.26,0,0,4,1,6,0,1374,967,17,56.88,4.222,80.82,0,0,3/38,3/38
Maitipage Athula Rohitha Samarasekera,05-08-1961,SRI LANKA,Right-hand bat,Right-arm medium,"June 9,1983",Pakistan v Sri Lanka,39,39,844,2,76,22.81,1189,70.98,0,4,69,1,5,0,338,291,0,--,5.165,--,0,0,0/11,0/11
Dihan Avishka Gunawardene,26-05-1977,SRI LANKA,Left-hand bat,NaN,"January 26,1998",Sri Lanka v Zimbabwe,61,61,1708,1,132,28.46,2389,71.49,1,12,210,5,13,0,--,--,--,--,--,--,--,--,,
Bandula Warnapura,01-03-1953,SRI LANKA,Right-hand bat,Right-arm medium,"June 7,1975",Sri Lanka v West Indies,12,12,180,0,77,15.00,415,43.37,0,1,19,0,5,0,414,316,8,39.50,4.579,51.75,0,0,3/42,3/42
Don Sardha Brendon Priyantha Kuruppu,05-01-1962,SRI LANKA,Right-hand bat,NaN,"April 30,1983",Sri Lanka v Australia,54,52,1022,1,72,20.03,1927,53.03,0,4,74,1,30,8,--,--,--,--,--,--,--,--,,
Chamara Iroshan Dunusinghe,19-10-1970,SRI LANKA,Right-hand bat,NaN,"April 6,1995",Bangladesh v Sri Lanka,1,1,1,0,1,1.000,1,100.0,0,0,0,0,1,1,--,--,--,--,--,--,--,--,,
Chamara Kantha Kapugedera,24-02-1987,SRI LANKA,Right-hand bat,Right-arm medium,"January 29,2006",Australia v Sri Lanka,103,84,1624,7,95,21.09,2254,72.04,0,8,118,28,31,0,264,225,2,112.5,5.113,132.0,0,0,1/24,1/24
Lindamlilage Prageeth Chamara Silva,14-12-1979,SRI LANKA,Right-hand bat,Leg-break,"August 26,1999",Sri Lanka v Australia,76,62,1587,7,107*,28.85,2255,70.37,1,13,139,10,20,0,42,33,1,33.00,4.714,42.00,0,0,1/4,1/4
