Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Abdul Rehman,02-01-1987,UNITED ARAB EMIRATES,Right-hand bat,NaN,"July 16,2004",India v United Arab Emirates,1,1,1,0,1,1.000,13,7.692,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Ahmed Raza,10-10-1988,UNITED ARAB EMIRATES,Left-hand bat,Slow left-arm,"February 1,2014",Scotland v United Arab Emirates,24,21,220,4,50,12.94,401,54.86,0,1,21,2,9,0,1265,877,21,41.76,4.159,60.23,0,0,0/14,0/14
Alawi Shukri Al Braik,23-01-1990,UNITED ARAB EMIRATES,Left-hand bat,Off-break,"June 26,2008",Sri Lanka v United Arab Emirates,1,1,1,0,1,1.000,3,33.33,0,0,0,0,--,--,--,--,--,--,--,--,--,--,,
Ali Asad Abbas,06-12-1976,UNITED ARAB EMIRATES,Right-hand bat,Right-arm fast-medium,"July 16,2004",India v United Arab Emirates,2,2,21,1,12,21.00,47,44.68,0,0,3,0,--,--,120,73,2,36.50,3.650,60.00,0,0,2/35,2/35
Mohammad Aman Ali,29-09-1989,UNITED ARAB EMIRATES,Right-hand bat,Left-arm fast-medium,"June 26,2008",Sri Lanka v United Arab Emirates,1,1,0,0,0,0.000,2,0.000,0,0,0,0,--,--,12,22,0,--,11.00,--,0,0,0/22,0/22
Amjad Ali Chaudhry,25-09-1979,UNITED ARAB EMIRATES,Left-hand bat,Right-arm medium,"June 24,2008",Bangladesh v United Arab Emirates,17,17,520,0,98,30.58,680,76.47,0,3,71,2,11,1,--,--,--,--,--,--,--,--,,
Amjad Javed,05-07-1980,UNITED ARAB EMIRATES,Right-hand bat,Right-arm medium,"June 24,2008",Bangladesh v United Arab Emirates,15,13,239,1,56,19.91,267,89.51,0,1,27,9,8,0,618,608,9,67.55,5.902,68.66,0,0,1/9,1/9
Arshad Ali,06-04-1976,UNITED ARAB EMIRATES,Right-hand bat,Right-arm medium,"July 16,2004",India v United Arab Emirates,4,4,54,0,41,13.50,102,52.94,0,0,6,0,1,0,102,105,1,105.0,6.176,102.0,0,0,1/5,1/5
Arshad Laeeq,28-11-1970,UNITED ARAB EMIRATES,Right-hand bat,Right-arm fast-medium,"April 13,1994",United Arab Emirates v India,6,6,101,1,43*,20.20,215,46.97,0,0,11,2,1,0,198,198,1,198.0,6.000,198.0,0,0,1/25,1/25
Asghar Ali Khan,03-09-1971,UNITED ARAB EMIRATES,Right-hand bat,Off-break,"July 16,2004",India v United Arab Emirates,2,2,14,0,14,7.000,53,26.41,0,0,1,0,--,--,--,--,--,--,--,--,--,--,,
Asim Saeed,05-10-1979,UNITED ARAB EMIRATES,Right-hand bat,Left-arm medium,"July 16,2004",India v United Arab Emirates,2,2,12,0,12,6.000,19,63.15,0,0,2,0,--,--,54,40,1,40.00,4.444,54.00,0,0,1/25,1/25
Syed Azhar Saeed,25-12-1970,UNITED ARAB EMIRATES,Left-hand bat,Slow left-arm,"April 13,1994",United Arab Emirates v India,7,7,61,0,32,8.714,195,31.28,0,0,5,0,2,0,271,213,6,35.50,4.715,45.16,0,0,3/45,3/45
Fahad Afdhal Alhashmi,31-07-1982,UNITED ARAB EMIRATES,Right-hand bat,Right-arm fast-medium,"June 24,2008",Bangladesh v United Arab Emirates,5,3,0,0,0,0.000,7,0.000,0,0,0,0,--,--,224,202,6,33.66,5.410,37.33,0,0,2/39,2/39
Fahad Usman Khan,02-10-1976,UNITED ARAB EMIRATES,Left-hand bat,Leg-break,"July 16,2004",India v United Arab Emirates,2,2,9,0,9,4.500,18,50.00,0,0,0,0,1,0,--,--,--,--,--,--,--,--,,
Fayyaz Ahmed,12-05-1983,UNITED ARAB EMIRATES,Left-hand bat,Slow left-arm,"May 2,2014",Afghanistan v United Arab Emirates,3,3,47,2,37*,47.00,100,47.00,0,0,6,0,--,--,162,121,0,--,4.481,--,0,--,,
Ganesh Mylvaganam,01-08-1966,UNITED ARAB EMIRATES,Right-hand bat,NaN,"February 16,1996",South Africa v United Arab Emirates,3,3,36,0,23,12.00,92,39.13,0,0,4,0,1,0,--,--,--,--,--,--,--,--,,
Imtiaz Abbasi,06-02-1968,UNITED ARAB EMIRATES,Right-hand bat,NaN,"April 13,1994",United Arab Emirates v India,7,6,12,4,6*,6.000,38,31.57,0,0,1,0,4,2,--,--,--,--,--,--,--,--,,
Indika Prabath Priyankara Batuwitarachchi,03-11-1974,UNITED ARAB EMIRATES,Right-hand bat,Right-arm,"June 24,2008",Bangladesh v United Arab Emirates,2,2,14,0,14,7.000,48,29.16,0,0,0,0,2,0,--,--,--,--,--,--,--,--,,
Irfan Sajid,01-01-1983,UNITED ARAB EMIRATES,Right-hand bat,Leg-break,"May 2,2014",Afghanistan v United Arab Emirates,1,1,2,0,2,2.000,5,40.00,0,0,0,0,--,--,30,23,0,--,4.600,--,0,--,,
Johanne Abeyratne Samarasekera,22-02-1968,UNITED ARAB EMIRATES,Right-hand bat,Right-arm medium-fast,"April 13,1994",United Arab Emirates v India,7,6,124,2,47*,31.00,215,57.67,0,0,8,0,1,0,294,236,4,59.00,4.816,73.50,0,0,1/17,1/17
Karate Krishnachandran,24-08-1984,UNITED ARAB EMIRATES,Right-hand bat,Right-arm medium,"May 2,2014",Afghanistan v United Arab Emirates,12,10,134,2,43,16.75,274,48.90,0,0,12,1,5,0,418,431,7,61.57,6.186,59.71,0,--,,
Khurram Khan,21-06-1971,UNITED ARAB EMIRATES,Left-hand bat,Slow left-arm,"July 16,2004",India v United Arab Emirates,16,16,582,2,132*,41.57,725,80.27,1,3,59,2,6,0,498,432,12,36.00,5.204,41.50,0,0,4/32,4/32
Asanka Manjula Guruge,14-02-1981,UNITED ARAB EMIRATES,Right-hand bat,Left-arm fast-medium,"February 1,2014",Scotland v United Arab Emirates,7,4,16,4,10*,--,29,55.17,0,0,1,0,1,0,351,337,12,28.08,5.760,29.25,0,0,3/67,3/67
Sheikh Mazhar Hussain,25-10-1967,UNITED ARAB EMIRATES,Right-hand bat,Leg-break,"April 13,1994",United Arab Emirates v India,7,7,179,0,70,25.57,334,53.59,0,1,20,0,1,0,48,60,0,--,7.500,--,0,0,0/28,0/28
Mohammad Aslam,07-09-1961,UNITED ARAB EMIRATES,Right-hand bat,Right-arm fast-medium,"February 16,1996",South Africa v United Arab Emirates,4,4,38,0,23,9.500,73,52.05,0,0,3,0,--,--,--,--,--,--,--,--,--,--,,
Mohammad Ishaq,07-03-1963,UNITED ARAB EMIRATES,Right-hand bat,Right-arm medium,"April 13,1994",United Arab Emirates v India,5,5,98,1,51*,24.50,130,75.38,0,1,11,0,1,0,--,--,--,--,--,--,--,--,,
Mohammad Shehzad,15-08-1979,UNITED ARAB EMIRATES,Right-hand bat,Right-arm medium,"May 2,2014",Afghanistan v United Arab Emirates,6,6,190,0,79,31.66,225,84.44,0,2,21,5,2,0,240,233,9,25.88,5.825,26.66,0,--,,
Mohammad Tauqir Khan,14-01-1972,UNITED ARAB EMIRATES,Right-hand bat,Off-break,"July 16,2004",India v United Arab Emirates,11,9,95,2,55,13.57,164,57.92,0,1,12,0,5,0,491,383,9,42.55,4.680,54.55,0,0,2/38,2/38
