Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Adrian Boris Barath,14-04-1990,TRINIDAD AND TOBAGO,Right-hand bat,Off-break,"March 4,2010",West Indies v Zimbabwe,14,14,394,1,113,30.30,612,64.37,1,1,43,3,3,0,--,--,--,--,--,--,--,--,,
Adrian Frank Gordon Griffith,19-11-1971,WEST INDIES,Left-hand bat,Right-arm medium,"December 8,1996",Australia v West Indies,9,8,99,1,47,14.14,177,55.93,0,0,5,1,5,0,--,--,--,--,--,--,--,--,,
Alvin Ethelbert Greenidge,20-08-1956,WEST INDIES,Right-hand bat,Right-arm medium,"April 12,1978",West Indies v Australia,1,1,23,0,23,23.00,33,69.69,0,0,4,0,--,--,--,--,--,--,--,--,--,--,,
Alvin Isaac Kallicharran,21-03-1949,WEST INDIES,Left-hand bat,Off-break,"September 5,1973",England v West Indies,31,28,826,4,78,34.41,1260,65.55,0,6,60,--,8,0,105,64,3,21.33,3.657,35.00,0,0,2/10,2/10
Andre David Stephon Fletcher,28-11-1987,WEST INDIES,Right-hand bat,Right-arm medium-fast,"June 24,2008",West Indies v Australia,25,25,354,0,54,14.16,549,64.48,0,2,42,7,5,3,28,26,0,--,5.571,--,0,--,,
Andre Dwayne Russell,29-04-1988,WEST INDIES,Right-hand bat,Right-arm fast,"March 11,2011",Ireland v West Indies,51,43,985,9,92*,28.97,753,130.8,0,4,90,53,11,0,2122,2066,64,32.28,5.841,33.15,0,0,4/20,4/20
Anderson Cleophas Cummins,07-05-1966,CANADA,Right-hand bat,Right-arm fast-medium,"November 20,1991",Pakistan v West Indies,76,49,486,13,44*,13.50,586,82.93,0,0,33,5,14,0,3767,2877,91,31.61,4.582,41.39,1,0,5/31,5/31
Anderson Montgomery Everton Roberts,29-01-1951,WEST INDIES,Right-hand bat,Right-arm fast,"June 7,1975",Sri Lanka v West Indies,56,32,231,9,37*,10.04,294,78.57,0,0,9,0,6,0,3115,1771,87,20.35,3.411,35.80,1,0,5/22,5/22
Anthony Martin,18-11-1982,WEST INDIES,Right-hand bat,Leg-break,"April 25,2011",West Indies v Pakistan,9,6,10,5,4*,10.00,29,34.48,0,0,0,0,3,0,444,296,11,26.90,4.000,40.36,0,0,4/36,4/36
Ashley Renaldo Nurse,22-12-1988,BARBADOS TRIDENTS,Right-hand bat,Off-break,"November 16,2016",Sri Lanka v West Indies,33,26,298,10,44,18.62,323,92.26,0,0,28,6,13,0,1540,1293,33,39.18,5.037,46.66,0,--,,
