Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate,5WI,10WM,BBI,BBM
Adam George Huckle,21-09-1971,ZIMBABWE,Right-hand bat,Leg-break googly,"October 11,1997",Bangladesh v Zimbabwe,19,8,9,4,5*,2.250,16,56.25,0,0,1,0,7,0,858,661,7,94.42,4.622,122.5,0,0,2/27,2/27
Alester Maregwede,05-08-1981,ZIMBABWE,Right-hand bat,NaN,"November 30,2003",Zimbabwe v West Indies,11,11,124,1,37,12.40,218,56.88,0,0,10,2,2,0,--,--,--,--,--,--,--,--,,
Ali Hassimshah Omarshah,07-08-1959,ZIMBABWE,Left-hand bat,Right-arm medium,"June 9,1983",Australia v Zimbabwe,28,28,437,2,60*,16.80,861,50.75,0,1,27,2,6,0,1077,812,18,45.11,4.523,59.83,0,0,3/33,3/33
Alistair Douglas Ross Campbell,23-09-1972,ZIMBABWE,Left-hand bat,Off-break,"February 29,1992",West Indies v Zimbabwe,188,184,5185,14,131*,30.50,7833,66.19,7,30,426,43,76,0,509,434,12,36.16,5.115,42.41,0,0,2/20,2/20
Andrew Richard Whittall,28-03-1973,ZIMBABWE,Right-hand bat,Off-break,"September 3,1996",Sri Lanka v Zimbabwe,63,35,168,13,29,7.636,310,54.19,0,0,8,2,21,0,3085,2251,45,50.02,4.378,68.55,0,0,3/23,3/23
Arnoldus Mauritius Blignaut,01-08-1978,ZIMBABWE,Left-hand bat,Right-arm medium-fast,"September 2,1999",West Indies v Zimbabwe,54,41,626,8,63*,18.96,591,105.9,0,5,62,13,11,0,2348,2063,50,41.26,5.271,46.96,0,0,4/43,4/43
Andrew Flower,28-04-1968,ZIMBABWE,Left-hand bat,Off-break,"February 23,1992",Sri Lanka v Zimbabwe,213,208,6786,16,145,35.34,9096,74.60,4,55,531,25,141,32,30,23,0,--,4.600,--,0,0,0/0,0/0
Andrew John Pycroft,06-06-1956,ZIMBABWE,Right-hand bat,Off-break,"June 9,1983",Australia v Zimbabwe,20,19,295,2,61,17.35,560,52.67,0,2,13,1,6,0,--,--,--,--,--,--,--,--,,
Andrew Christopher Waller,25-09-1959,ZIMBABWE,Right-hand bat,Right-arm medium,"October 10,1987",New Zealand v Zimbabwe,39,38,818,3,83*,23.37,1172,69.79,0,4,85,11,10,0,--,--,--,--,--,--,--,--,,
Angus James Mackay,13-06-1967,ZIMBABWE,Right-hand bat,Right-arm fast-medium,"January 4,2001",New Zealand v Zimbabwe,3,0,0,0,0,--,0,--,0,0,0,0,1,0,132,137,0,--,6.227,--,0,0,0/33,0/33
