Name,Date of birth,Team,Batting Style,Bowling Style,ODI Debut,Debut Team,Matches played,Innings,Total Run,Not Out,Highe Score,Batting Avg,Balls faced,Stick rate,100s,50s,4s,6s,Caught,Stumped,Balls,Runs,Wickets,Bowling Avg,Economy,Stick rate.1,5WI,10WM,BBI,BBM
Aashish Rakesh Kapoor,1971-03-25,india,Right-hand bat,Off-break,1995-02-22,australia,17,6,43,0,19,7.166,63,68.25,0,0,2,1,1,0,900,612,8,76.5,4.08,112.5,0,0,2/19,2/29
Aavishkar Madhav Salvi,1981-10-20,india,Right-hand bat,Right-arm medium,2003-04-11,bangladesh,4,3,4,1,4,2.0,14,28.57,0,0,0,0,2,0,172,120,4,30.0,4.186,43.0,0,0,2/15,2/15
Abey Kuruvilla,1968-04-08,india,Right-hand bat,Right-arm fast-medium,1997-04-26,west indies,25,11,26,4,7,3.714,43,60.46,0,0,1,1,4,0,1131,890,25,35.6,4.721,45.24,0,0,4/43,4/43
Abhijit Vasant Kale,1973-03-07,india,Right-hand bat,Off-break,2003-04-16,bangladesh,1,1,10,0,10,10.0,22,45.45,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Abhimanyu Mithun,1989-10-25,india,Right-hand bat,Right-arm medium,2010-02-27,south africa,5,3,51,0,24,17.0,55,92.72,0,0,2,4,1,0,180,203,3,67.66,6.766,60.0,0,0,2/25,2/25
Abhishek Mohan Nayar,1983-10-26,india,Left-hand bat,Right-arm medium,2009-07-03,west indies,3,1,0,1,0,0.0,7,0.0,0,0,0,0,0,0,18,17,0,0.0,5.666,0.0,0,0,0/3,0/3
Ajaysinhji Daulatsinhji Jadeja,1971-01-02,india,Right-hand bat,Right-arm medium,1992-02-28,sri lanka,196,179,5359,36,119,37.47,7682,69.76,6,30,366,85,59,0,1248,1094,20,54.7,5.2589999999999995,62.4,0,0,3/3,3/3
Ajay Ratra,1981-12-13,india,Right-hand bat,Right-arm,2002-01-19,england,12,8,90,1,30,12.85,127,70.86,0,0,8,0,11,5,0,0,0,0.0,0.0,0.0,0,0,0,0
Ajay Kumar Sharma,1964-03-04,india,Right-hand bat,Slow left-arm,1988-01-02,west indies,31,27,424,6,59,20.19,469,90.4,0,3,24,7,6,0,1140,875,15,58.33,4.605,76.0,0,0,3/41,3/41
Ajinkya Madhukar Rahane,1988-06-06,india,Right-hand bat,Right-arm medium,2011-09-03,england,90,87,2962,3,111,35.26,3767,78.63,3,24,293,33,48,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ajit Bhalchandra Agarkar,1977-04-12,india,Right-hand bat,Right-arm fast-medium,1998-04-01,australia,191,113,1269,26,95,14.58,1574,80.62,0,3,103,22,53,0,9484,8021,288,27.85,5.074,32.93,2,0,6/41,6/42
Ajit Laxman Wadekar,1941-01-04,india,Left-hand bat,"Left-arm medium, Slow left-arm",1974-07-13,england,2,2,73,0,67,36.5,90,81.11,0,1,11,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Akshar Rajeshbhai Patel,1994-01-20,india,Left-hand bat,Slow left-arm,2014-06-15,bangladesh,38,20,181,6,38,12.92,190,95.26,0,0,8,8,15,0,1908,1409,45,31.31,4.43,42.4,0,0,0,0
Amay Ramsevak Khurasiya,1972-05-18,india,Left-hand bat,Slow left-arm,1999-03-30,sri lanka,12,11,149,0,57,13.54,188,79.25,0,1,14,2,3,0,0,0,0,0.0,0.0,0.0,0,0,0,0
Ambati Thirupathi Rayudu,1985-09-23,india,Right-hand bat,Off-break,2013-07-24,zimbabwe,34,30,1055,9,124,50.23,1383,76.28,2,6,90,13,11,0,108,111,3,37.0,6.166,36.0,0,0,0/9,0/9
Amit Bhandari,1978-01-10,india,Right-hand bat,Right-arm fast-medium,2000-06-03,pakistan,2,1,0,1,0,0.0,0,0.0,0,0,0,0,0,0,106,106,5,21.2,6.0,21.2,0,0,3/31,3/31
Amit Mishra,1982-11-24,india,Right-hand bat,Leg-break,2003-04-13,south africa,36,11,43,3,14,5.375,82,52.43,0,0,4,0,5,0,1917,1511,64,23.6,4.729,29.95,2,0,6/48,6/48
